epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.356,3.18537,3.05208,0.80638,0.54345,0.39595,0.35817,0.11039,2.92535,1.61126,0.78524,0.00199576,0.00199576,0.0820381
2,535.659,3.11358,1.62795,0.78237,0.57004,0.38617,0.35747,0.11165,2.93603,1.62699,0.79063,0.00399552,0.00399552,0.0640379
3,667.046,3.13073,1.58742,0.786,0.69363,0.45007,0.45778,0.14673,2.83134,1.33551,0.77843,0.0059943,0.0059943,0.0460367
4,799.329,3.17217,1.57763,0.78218,0.53833,0.31774,0.30131,0.0857,3.04306,1.79808,0.80949,0.00799137,0.00799137,0.0280337
5,930.905,3.17265,1.56027,0.79585,0.6127,0.44518,0.42484,0.13033,2.84605,1.59012,0.79135,0.009986,0.009986,0.0100284
6,1061.64,3.13043,1.5278,0.79052,0.63056,0.4382,0.43494,0.1352,2.86373,1.5127,0.78372,0.00998474,0.00998474,0.00998474
7,1191.73,3.04587,1.40373,0.78931,0.73091,0.48149,0.50452,0.16577,2.75632,1.25317,0.77796,0.00997803,0.00997803,0.00997803
8,1322,2.97876,1.34375,0.78513,0.67385,0.45016,0.44734,0.1379,2.86664,1.29355,0.79083,0.00997011,0.00997011,0.00997011
9,1452.51,2.91406,1.25902,0.78432,0.75602,0.51397,0.54885,0.18739,2.6966,1.13589,0.77987,0.00996097,0.00996097,0.00996097
10,1581.4,2.88484,1.21801,0.77253,0.76382,0.51257,0.54618,0.1818,2.71269,1.11406,0.7775,0.00995062,0.00995062,0.00995062
11,1711.31,2.85683,1.19261,0.76713,0.77873,0.55726,0.58204,0.19982,2.62724,1.06442,0.77349,0.00993906,0.00993906,0.00993906
12,1840.31,2.81358,1.16422,0.77208,0.77763,0.56075,0.58431,0.20614,2.61248,1.07047,0.77057,0.00992629,0.00992629,0.00992629
13,1969.19,2.80141,1.13733,0.76334,0.78237,0.55901,0.59039,0.21001,2.61991,1.02584,0.76797,0.00991232,0.00991232,0.00991232
14,2097.89,2.78174,1.13798,0.7685,0.77753,0.57478,0.60185,0.21725,2.61731,1.01374,0.77019,0.00989715,0.00989715,0.00989715
15,2228.58,2.77452,1.11014,0.76065,0.76163,0.56459,0.5974,0.20774,2.62981,1.02765,0.76525,0.00988079,0.00988079,0.00988079
16,2359.54,2.75044,1.10191,0.7558,0.78107,0.57961,0.60786,0.22126,2.56672,0.99918,0.76679,0.00986323,0.00986323,0.00986323
17,2489.45,2.7253,1.07875,0.75478,0.80296,0.58624,0.62823,0.2333,2.54431,0.97874,0.76224,0.00984449,0.00984449,0.00984449
18,2618.5,2.69013,1.0426,0.75975,0.80891,0.58031,0.61273,0.23042,2.52841,0.97363,0.7625,0.00982456,0.00982456,0.00982456
19,2750.11,2.70871,1.06873,0.75531,0.80905,0.59078,0.62594,0.22086,2.59387,0.97907,0.76195,0.00980345,0.00980345,0.00980345
20,2880,2.69271,1.05494,0.75478,0.80724,0.6039,0.63217,0.23381,2.5159,0.95989,0.7558,0.00978118,0.00978118,0.00978118
21,3011.77,2.67462,1.0493,0.75477,0.8137,0.61208,0.64639,0.24676,2.48119,0.93211,0.75538,0.00975773,0.00975773,0.00975773
22,3142.4,2.67226,1.0331,0.75895,0.80608,0.61802,0.6402,0.23608,2.50551,0.94891,0.75589,0.00973312,0.00973312,0.00973312
23,3273.86,2.64557,1.03422,0.76338,0.7771,0.61418,0.63107,0.23364,2.49783,0.93239,0.75353,0.00970736,0.00970736,0.00970736
24,3404.79,2.64335,1.02726,0.75572,0.82802,0.61191,0.64889,0.24666,2.4613,0.93036,0.75525,0.00968045,0.00968045,0.00968045
25,3535.88,2.66242,1.0299,0.75142,0.82152,0.61941,0.65188,0.25199,2.44457,0.92257,0.75218,0.00965239,0.00965239,0.00965239
26,3665.19,2.64462,1.01922,0.74789,0.82099,0.61013,0.65361,0.25666,2.44971,0.9132,0.75244,0.0096232,0.0096232,0.0096232
27,3795.9,2.64061,1.01076,0.74782,0.81804,0.63478,0.66465,0.2621,2.44286,0.8993,0.74987,0.00959289,0.00959289,0.00959289
28,3922.91,2.61766,0.98848,0.74895,0.83936,0.62116,0.65994,0.25093,2.45904,0.90918,0.75009,0.00956145,0.00956145,0.00956145
29,4051.98,2.58257,0.97853,0.75056,0.81406,0.63897,0.66096,0.2597,2.41725,0.89741,0.75058,0.00952889,0.00952889,0.00952889
30,4184.63,2.6231,0.99028,0.74758,0.80983,0.62221,0.65195,0.25965,2.42707,0.8911,0.7493,0.00949524,0.00949524,0.00949524
31,4313.89,2.60415,0.9795,0.74505,0.84278,0.63408,0.67397,0.26739,2.40627,0.88246,0.74604,0.00946048,0.00946048,0.00946048
32,4441.31,2.57853,0.98363,0.75458,0.81441,0.63687,0.67297,0.26728,2.37505,0.8852,0.74873,0.00942464,0.00942464,0.00942464
33,4573.98,2.59283,0.97935,0.74605,0.82324,0.64072,0.67382,0.27046,2.39853,0.87374,0.74972,0.00938772,0.00938772,0.00938772
34,4704.44,2.5533,0.95372,0.74689,0.83963,0.63068,0.6721,0.26961,2.39544,0.87678,0.74992,0.00934973,0.00934973,0.00934973
35,4834.79,2.55966,0.95536,0.74183,0.84476,0.63082,0.67839,0.26962,2.38658,0.87437,0.74705,0.00931067,0.00931067,0.00931067
36,4964.78,2.5473,0.94948,0.74779,0.82815,0.65456,0.68499,0.27811,2.36252,0.87182,0.74757,0.00927057,0.00927057,0.00927057
37,5092.13,2.52343,0.94291,0.74557,0.83996,0.63547,0.67964,0.27746,2.368,0.86367,0.74632,0.00922942,0.00922942,0.00922942
38,5221.01,2.55777,0.95193,0.74451,0.82447,0.64595,0.68403,0.27484,2.34275,0.86882,0.74808,0.00918725,0.00918725,0.00918725
39,5350.54,2.55995,0.95148,0.74268,0.84105,0.65034,0.68619,0.27244,2.37471,0.8611,0.7463,0.00914405,0.00914405,0.00914405
40,5481.29,2.54084,0.94165,0.74427,0.8352,0.64057,0.67597,0.27775,2.36576,0.86147,0.75287,0.00909984,0.00909984,0.00909984
41,5610.43,2.54352,0.93434,0.73845,0.82007,0.65433,0.69385,0.28112,2.34709,0.85159,0.74374,0.00905463,0.00905463,0.00905463
42,5740.59,2.53557,0.93726,0.7388,0.85025,0.64829,0.6936,0.28278,2.33157,0.84603,0.74748,0.00900844,0.00900844,0.00900844
43,5873.71,2.50733,0.92367,0.74079,0.83579,0.65042,0.68789,0.28384,2.31189,0.83938,0.7438,0.00896127,0.00896127,0.00896127
44,6002.15,2.50758,0.92322,0.73978,0.8443,0.65433,0.69412,0.28459,2.32288,0.83775,0.74312,0.00891313,0.00891313,0.00891313
45,6132.11,2.50938,0.91928,0.73817,0.82851,0.66411,0.69671,0.28943,2.33516,0.83841,0.74328,0.00886404,0.00886404,0.00886404
46,6262.67,2.51411,0.92114,0.7343,0.83637,0.66213,0.69651,0.28646,2.32803,0.82837,0.74054,0.00881401,0.00881401,0.00881401
47,6391.69,2.49835,0.90572,0.74176,0.83345,0.66131,0.69448,0.28696,2.31101,0.83321,0.74141,0.00876305,0.00876305,0.00876305
48,6522.26,2.46206,0.89922,0.74033,0.85651,0.65468,0.70419,0.28852,2.30108,0.82914,0.74203,0.00871117,0.00871117,0.00871117
49,6651.81,2.47244,0.90622,0.74033,0.86651,0.65608,0.70379,0.29288,2.27719,0.82316,0.74748,0.00865839,0.00865839,0.00865839
50,6783.6,2.47203,0.91063,0.73937,0.84849,0.66201,0.70179,0.28892,2.30067,0.82831,0.74258,0.00860473,0.00860473,0.00860473
51,6913.38,2.48546,0.90905,0.74004,0.84752,0.66899,0.71176,0.29586,2.27917,0.81626,0.74136,0.00855018,0.00855018,0.00855018
52,7043.02,2.45644,0.90345,0.74077,0.84326,0.6744,0.71511,0.29736,2.26904,0.81701,0.73901,0.00849477,0.00849477,0.00849477
53,7171.2,2.48473,0.89985,0.74101,0.84581,0.67493,0.70918,0.29832,2.27534,0.81659,0.74136,0.00843851,0.00843851,0.00843851
54,7302.69,2.47157,0.89701,0.73442,0.85275,0.66236,0.71092,0.29866,2.27629,0.81283,0.73926,0.00838141,0.00838141,0.00838141
55,7434,2.45916,0.89307,0.73768,0.84144,0.67039,0.7107,0.30045,2.2706,0.81354,0.74031,0.00832349,0.00832349,0.00832349
56,7565.36,2.46267,0.8956,0.73946,0.86376,0.67179,0.7146,0.30157,2.26423,0.80337,0.73929,0.00826477,0.00826477,0.00826477
57,7695.93,2.46296,0.88606,0.73251,0.84531,0.67004,0.70701,0.29836,2.26709,0.80306,0.74222,0.00820525,0.00820525,0.00820525
