epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.861,3.20424,3.10851,0.80334,0.56318,0.41795,0.39533,0.12366,2.85505,1.46076,0.77868,0.00199576,0.00199576,0.0820381
2,391.495,3.16905,1.64045,0.78665,0.38852,0.34253,0.19916,0.05053,3.26083,1.74881,0.82532,0.00399552,0.00399552,0.0640379
3,567.441,3.21814,1.62552,0.79571,0.6686,0.45999,0.453,0.14166,2.85422,1.41137,0.78347,0.0059943,0.0059943,0.0460367
4,741.588,3.2564,1.6153,0.79159,0.57458,0.3735,0.32342,0.08486,3.18262,1.71457,0.80421,0.00799137,0.00799137,0.0280337
5,914.815,3.24182,1.64877,0.79826,0.62577,0.4148,0.38842,0.11182,3.04433,1.49208,0.80223,0.009986,0.009986,0.0100284
6,1088.08,3.17854,1.58591,0.78949,0.67524,0.4595,0.45342,0.1359,2.89566,1.41867,0.79451,0.00998474,0.00998474,0.00998474
7,1260.61,3.10348,1.46923,0.7906,0.61782,0.44518,0.43045,0.13142,2.92678,1.50153,0.79403,0.00997803,0.00997803,0.00997803
8,1432.92,3.00582,1.35985,0.78907,0.69062,0.51432,0.50495,0.16976,2.7733,1.17927,0.77799,0.00997011,0.00997011,0.00997011
9,1605.99,2.93041,1.29782,0.78242,0.74121,0.53212,0.54525,0.18298,2.738,1.12834,0.77583,0.00996097,0.00996097,0.00996097
10,1778.7,2.9254,1.25324,0.77103,0.7345,0.52723,0.53669,0.1822,2.72457,1.16668,0.77344,0.00995062,0.00995062,0.00995062
11,1951.19,2.88902,1.23227,0.76678,0.77015,0.53233,0.55739,0.19717,2.69454,1.10949,0.77134,0.00993906,0.00993906,0.00993906
12,2124.31,2.83311,1.19344,0.7716,0.77196,0.56145,0.58278,0.21374,2.65604,1.07256,0.7648,0.00992629,0.00992629,0.00992629
13,2297.25,2.82779,1.17292,0.76322,0.7724,0.55098,0.57939,0.20512,2.63447,1.08625,0.76605,0.00991232,0.00991232,0.00991232
14,2470.43,2.7967,1.1497,0.76747,0.79354,0.56564,0.58833,0.21772,2.59417,1.06082,0.76261,0.00989715,0.00989715,0.00989715
15,2643.52,2.79368,1.13607,0.7627,0.77624,0.57577,0.60248,0.21126,2.65109,1.01759,0.75846,0.00988079,0.00988079,0.00988079
16,2816.26,2.77078,1.12521,0.75586,0.79647,0.59637,0.62356,0.22959,2.57759,0.99926,0.76311,0.00986323,0.00986323,0.00986323
17,2989.21,2.74621,1.0987,0.75629,0.77747,0.57996,0.60777,0.22539,2.58192,1.03583,0.76142,0.00984449,0.00984449,0.00984449
18,3162.2,2.71305,1.06572,0.75775,0.80607,0.58799,0.63051,0.23614,2.53597,0.98493,0.75964,0.00982456,0.00982456,0.00982456
19,3335.23,2.72895,1.09035,0.75888,0.80039,0.60204,0.6288,0.22778,2.59015,1.00254,0.75757,0.00980345,0.00980345,0.00980345
20,3508.33,2.70715,1.07193,0.75462,0.80378,0.59881,0.63105,0.23028,2.55328,0.99617,0.75573,0.00978118,0.00978118,0.00978118
21,3681.45,2.69303,1.07818,0.75398,0.81763,0.6105,0.64419,0.24967,2.47966,0.95668,0.75509,0.00975773,0.00975773,0.00975773
22,3854.65,2.68427,1.06115,0.75796,0.80036,0.61034,0.65116,0.2429,2.48956,0.97353,0.75578,0.00973312,0.00973312,0.00973312
23,4027.76,2.65426,1.06401,0.76106,0.80507,0.60999,0.63776,0.23778,2.50349,0.97091,0.75231,0.00970736,0.00970736,0.00970736
24,4200.71,2.66083,1.05828,0.75239,0.82418,0.61208,0.65897,0.25589,2.44822,0.95318,0.74903,0.00968045,0.00968045,0.00968045
25,4373.65,2.65334,1.05659,0.74913,0.81047,0.62291,0.65238,0.25071,2.44917,0.95853,0.75665,0.00965239,0.00965239,0.00965239
26,4546.76,2.64482,1.05041,0.74431,0.81522,0.62919,0.65996,0.2636,2.40136,0.93837,0.74928,0.0096232,0.0096232,0.0096232
27,4719.46,2.63496,1.04077,0.74654,0.828,0.62695,0.66922,0.26348,2.41787,0.94688,0.74507,0.00959289,0.00959289,0.00959289
28,4892.53,2.60889,1.01678,0.74381,0.82799,0.63365,0.67752,0.26429,2.3922,0.92454,0.74757,0.00956145,0.00956145,0.00956145
29,5065.77,2.57419,1.01584,0.74544,0.8169,0.63403,0.67637,0.26706,2.37995,0.92138,0.74578,0.00952889,0.00952889,0.00952889
30,5239.25,2.58967,1.01859,0.74228,0.84246,0.62675,0.67724,0.26906,2.37084,0.92108,0.74566,0.00949524,0.00949524,0.00949524
31,5412.62,2.57431,1.00682,0.7393,0.84206,0.64106,0.68943,0.27467,2.3587,0.91904,0.74449,0.00946048,0.00946048,0.00946048
32,5585.39,2.55751,1.00844,0.75014,0.83878,0.63827,0.68543,0.2694,2.36427,0.91679,0.74364,0.00942464,0.00942464,0.00942464
33,5758.36,2.56799,1.00525,0.74266,0.8257,0.64979,0.69022,0.27514,2.35915,0.90546,0.7485,0.00938772,0.00938772,0.00938772
34,5931.32,2.52812,0.98391,0.74143,0.82948,0.64203,0.68166,0.27192,2.36615,0.90523,0.74384,0.00934973,0.00934973,0.00934973
35,6104.61,2.52633,0.97856,0.73795,0.84252,0.6456,0.69533,0.28276,2.31338,0.88487,0.74232,0.00931067,0.00931067,0.00931067
36,6278.02,2.52044,0.98277,0.74307,0.82836,0.65817,0.69667,0.28384,2.31732,0.88924,0.7423,0.00927057,0.00927057,0.00927057
37,6450.95,2.49994,0.9756,0.74062,0.81728,0.65747,0.69573,0.27873,2.34986,0.89728,0.74393,0.00922942,0.00922942,0.00922942
38,6624.03,2.518,0.98287,0.7392,0.85363,0.66178,0.70041,0.2818,2.30675,0.878,0.74036,0.00918725,0.00918725,0.00918725
39,6797.06,2.52906,0.97753,0.73895,0.82692,0.66225,0.70021,0.28028,2.31254,0.88763,0.74129,0.00914405,0.00914405,0.00914405
40,6970.08,2.51313,0.9768,0.73925,0.8338,0.6669,0.70342,0.29087,2.29881,0.87136,0.74218,0.00909984,0.00909984,0.00909984
41,7142.96,2.50828,0.96494,0.73326,0.81901,0.65887,0.69676,0.28908,2.27782,0.8713,0.74441,0.00905463,0.00905463,0.00905463
42,7316.19,2.50379,0.97088,0.73532,0.8256,0.66969,0.70778,0.29048,2.29506,0.86323,0.74247,0.00900844,0.00900844,0.00900844
43,7489.45,2.47352,0.95502,0.73566,0.82751,0.6683,0.6991,0.29226,2.26971,0.87121,0.73907,0.00896127,0.00896127,0.00896127
44,7662.55,2.48193,0.96141,0.73522,0.85242,0.66351,0.70693,0.29452,2.26666,0.85473,0.73982,0.00891313,0.00891313,0.00891313
45,7835.63,2.47297,0.94887,0.73318,0.85593,0.6655,0.71221,0.29818,2.27373,0.86081,0.73731,0.00886404,0.00886404,0.00886404
46,8008.74,2.47668,0.94692,0.72934,0.84435,0.67051,0.71266,0.29684,2.26651,0.86354,0.73756,0.00881401,0.00881401,0.00881401
47,8181.45,2.46048,0.93586,0.73617,0.84523,0.66742,0.70887,0.29854,2.24711,0.85243,0.73875,0.00876305,0.00876305,0.00876305
48,8354.83,2.42835,0.93619,0.73428,0.85062,0.66606,0.70638,0.29381,2.25578,0.86026,0.73703,0.00871117,0.00871117,0.00871117
49,8527.95,2.43771,0.93905,0.73465,0.86534,0.66725,0.71736,0.29733,2.23014,0.85063,0.73754,0.00865839,0.00865839,0.00865839
