epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.423,3.22016,3.64788,0.81773,0.40402,0.38897,0.23552,0.07076,2.89499,1.81123,0.79457,0.00199576,0.00199576,0.0820381
2,313.119,3.1521,1.66452,0.79012,0.41624,0.3558,0.26703,0.07529,3.12126,1.78285,0.81641,0.00399552,0.00399552,0.0640379
3,446.377,3.14542,1.57869,0.78852,0.62726,0.4155,0.42784,0.13325,2.89246,1.39458,0.78764,0.0059943,0.0059943,0.0460367
4,579.527,3.1786,1.60573,0.7829,0.57622,0.39879,0.35261,0.09963,3.12916,1.98012,0.79691,0.00799137,0.00799137,0.0280337
5,712.656,3.18089,1.61223,0.79059,0.63539,0.43226,0.42328,0.13199,2.90215,1.53777,0.79323,0.009986,0.009986,0.0100284
6,842.351,3.16283,1.57377,0.78619,0.66957,0.41376,0.41766,0.12724,2.98349,1.46323,0.78571,0.00998474,0.00998474,0.00998474
7,973.379,3.0733,1.45151,0.78844,0.71914,0.48534,0.50133,0.16451,2.81884,1.29449,0.77774,0.00997803,0.00997803,0.00997803
8,1104.1,2.98327,1.41169,0.78662,0.64759,0.47067,0.44702,0.12851,2.91694,1.39029,0.78931,0.00997011,0.00997011,0.00997011
9,1234.93,2.93317,1.32914,0.77965,0.76261,0.52095,0.54264,0.18324,2.73695,1.17994,0.77495,0.00996097,0.00996097,0.00996097
10,1367.34,2.9037,1.26255,0.76955,0.69663,0.52723,0.53186,0.1775,2.68417,1.27545,0.76867,0.00995062,0.00995062,0.00995062
11,1497.9,2.87483,1.24325,0.76678,0.74282,0.5206,0.53825,0.17984,2.71476,1.1683,0.77442,0.00993906,0.00993906,0.00993906
12,1627.66,2.83147,1.20996,0.76986,0.78,0.56327,0.58713,0.21207,2.60581,1.0966,0.76405,0.00992629,0.00992629,0.00992629
13,1754.55,2.8189,1.2019,0.76047,0.78022,0.55482,0.58393,0.20175,2.64363,1.09158,0.76898,0.00991232,0.00991232,0.00991232
14,1886.08,2.79285,1.18541,0.76561,0.77034,0.54993,0.59324,0.21863,2.6003,1.11222,0.76128,0.00989715,0.00989715,0.00989715
15,2018.99,2.79211,1.16295,0.75826,0.79914,0.57542,0.60612,0.21345,2.6092,1.04948,0.76188,0.00988079,0.00988079,0.00988079
16,2149.57,2.76604,1.15728,0.75295,0.77767,0.57263,0.5994,0.21835,2.55612,1.04786,0.75854,0.00986323,0.00986323,0.00986323
17,2278.24,2.7397,1.12335,0.75308,0.78546,0.57781,0.6132,0.22859,2.57045,1.02555,0.75778,0.00984449,0.00984449,0.00984449
18,2408.48,2.71016,1.11644,0.75303,0.81122,0.59637,0.63342,0.23132,2.51942,1.02351,0.75517,0.00982456,0.00982456,0.00982456
19,2538.8,2.72827,1.11778,0.75348,0.78936,0.58485,0.6173,0.22361,2.54356,1.03619,0.7534,0.00980345,0.00980345,0.00980345
20,2670.88,2.70505,1.09801,0.74959,0.78854,0.60335,0.63154,0.23206,2.51819,1.00777,0.75237,0.00978118,0.00978118,0.00978118
21,2800.9,2.67333,1.09519,0.75067,0.77867,0.58962,0.61832,0.21921,2.55187,1.00522,0.7565,0.00975773,0.00975773,0.00975773
22,2932.92,2.67373,1.09161,0.75597,0.77783,0.60877,0.63739,0.2394,2.44571,0.9847,0.75359,0.00973312,0.00973312,0.00973312
23,3066.43,2.64237,1.0785,0.75747,0.8083,0.60068,0.63763,0.23912,2.46939,1.0017,0.74978,0.00970736,0.00970736,0.00970736
24,3195.75,2.64923,1.08255,0.75109,0.79599,0.60196,0.64183,0.2448,2.47798,0.98633,0.75349,0.00968045,0.00968045,0.00968045
25,3328.61,2.64413,1.07317,0.747,0.79159,0.63687,0.6648,0.25508,2.42495,0.95659,0.74748,0.00965239,0.00965239,0.00965239
26,3458.8,2.64588,1.0704,0.74263,0.8139,0.62186,0.67051,0.26052,2.42753,0.96364,0.75448,0.0096232,0.0096232,0.0096232
27,3589.67,2.62338,1.05993,0.74351,0.81147,0.62675,0.66278,0.25906,2.40376,0.9557,0.75001,0.00959289,0.00959289,0.00959289
28,3720.5,2.59413,1.02895,0.74311,0.809,0.62261,0.65963,0.25733,2.42221,0.94451,0.74902,0.00956145,0.00956145,0.00956145
29,3850.03,2.57233,1.0276,0.74552,0.80977,0.63024,0.67008,0.25733,2.4166,0.94016,0.74955,0.00952889,0.00952889,0.00952889
30,3982.3,2.59745,1.03587,0.74092,0.81937,0.62884,0.66963,0.25815,2.40031,0.94067,0.74903,0.00949524,0.00949524,0.00949524
31,4111.66,2.58029,1.0246,0.73806,0.79552,0.64661,0.68017,0.26338,2.37807,0.95155,0.74711,0.00946048,0.00946048,0.00946048
32,4243.03,2.56235,1.02455,0.74886,0.80878,0.64036,0.68289,0.26903,2.37256,0.91738,0.74755,0.00942464,0.00942464,0.00942464
33,4374.57,2.57178,1.01935,0.74088,0.81989,0.63827,0.67533,0.26652,2.36148,0.91162,0.74745,0.00938772,0.00938772,0.00938772
34,4503.4,2.54466,1.00205,0.74107,0.80321,0.6257,0.6653,0.26275,2.36463,0.93039,0.74485,0.00934973,0.00934973,0.00934973
35,4634.28,2.53625,0.99936,0.73754,0.82661,0.64254,0.68475,0.27485,2.34634,0.91003,0.74675,0.00931067,0.00931067,0.00931067
36,4766.69,2.53208,0.99479,0.74553,0.81621,0.63757,0.67765,0.26761,2.36069,0.91929,0.74626,0.00927057,0.00927057,0.00927057
37,4896.83,2.5151,0.99056,0.74264,0.83,0.65084,0.69206,0.27108,2.35347,0.9051,0.74418,0.00922942,0.00922942,0.00922942
38,5027.26,2.53723,1.00573,0.73996,0.83313,0.65433,0.69615,0.27678,2.31698,0.89467,0.7467,0.00918725,0.00918725,0.00918725
39,5158.03,2.53859,0.99517,0.73742,0.80657,0.65084,0.68538,0.28092,2.30011,0.89161,0.74397,0.00914405,0.00914405,0.00914405
40,5288.9,2.52737,0.99109,0.73962,0.83049,0.64874,0.69352,0.27632,2.34457,0.90451,0.74708,0.00909984,0.00909984,0.00909984
