epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.651,1.64456,2.39666,1.1842,0.32095,0.25563,0.20187,0.11294,1.54075,1.54402,1.16247,0.00199506,0.00199506,0.0820444
2,230.608,1.56148,1.63234,1.12966,0.34089,0.31179,0.26933,0.15876,1.49395,1.40748,1.1278,0.00399482,0.00399482,0.0640442
3,329.03,1.55872,1.48912,1.11039,0.38996,0.3142,0.29772,0.17668,1.48602,1.34677,1.11678,0.0059936,0.0059936,0.046043
4,426.166,1.56406,1.43895,1.10401,0.3677,0.3247,0.30059,0.17734,1.48683,1.37045,1.11202,0.00799067,0.00799067,0.0280401
5,522.58,1.56489,1.41331,1.09171,0.39949,0.3362,0.32265,0.19131,1.48279,1.3393,1.07758,0.0099853,0.0099853,0.0100347
6,619.007,1.53875,1.362,1.06977,0.42097,0.34108,0.32369,0.19219,1.46453,1.29151,1.06859,0.00998474,0.00998474,0.00998474
7,714.266,1.51926,1.31751,1.05391,0.42181,0.3523,0.34256,0.20304,1.43318,1.22841,1.05866,0.00997803,0.00997803,0.00997803
8,809.182,1.49584,1.27535,1.04811,0.43897,0.35923,0.34763,0.20646,1.46001,1.21234,1.0561,0.00997011,0.00997011,0.00997011
9,905.074,1.47845,1.23886,1.03592,0.42929,0.37943,0.36321,0.21594,1.42305,1.19021,1.04446,0.00996097,0.00996097,0.00996097
10,1000.19,1.47472,1.2173,1.0342,0.45248,0.38346,0.37521,0.22364,1.42234,1.16904,1.04144,0.00995062,0.00995062,0.00995062
11,1095.72,1.4481,1.18535,1.02458,0.48755,0.3732,0.38457,0.23514,1.39389,1.14973,1.02944,0.00993906,0.00993906,0.00993906
12,1191.15,1.44273,1.16344,1.02017,0.47598,0.38495,0.38187,0.23097,1.38727,1.14572,1.03167,0.00992629,0.00992629,0.00992629
13,1286.98,1.44579,1.15097,1.01799,0.47309,0.3999,0.40006,0.24153,1.37865,1.12233,1.02086,0.00991232,0.00991232,0.00991232
14,1382.1,1.42886,1.14263,1.0137,0.4835,0.40348,0.40125,0.24512,1.36541,1.10825,1.01837,0.00989715,0.00989715,0.00989715
15,1478.4,1.42816,1.12289,1.012,0.48051,0.40023,0.40498,0.24496,1.37813,1.10819,1.02268,0.00988079,0.00988079,0.00988079
16,1573.81,1.41365,1.11598,1.00949,0.48767,0.40921,0.41459,0.25313,1.36517,1.09398,1.01245,0.00986323,0.00986323,0.00986323
17,1668.86,1.42156,1.11064,1.01008,0.49532,0.40699,0.4093,0.24903,1.37059,1.09448,1.01121,0.00984449,0.00984449,0.00984449
18,1764.58,1.40906,1.09439,1.0031,0.49374,0.40886,0.41116,0.24932,1.35756,1.08377,1.00929,0.00982456,0.00982456,0.00982456
19,1859.65,1.40259,1.08617,1.00336,0.5132,0.41891,0.42468,0.26044,1.35993,1.0693,1.00832,0.00980345,0.00980345,0.00980345
20,1955.04,1.39865,1.07768,0.99844,0.51032,0.42118,0.4322,0.2628,1.35534,1.06045,1.00956,0.00978118,0.00978118,0.00978118
21,2050.36,1.39923,1.06967,1.00108,0.51268,0.42112,0.42935,0.26268,1.35867,1.05858,1.00643,0.00975773,0.00975773,0.00975773
22,2146.29,1.40395,1.07718,1.00158,0.49814,0.40873,0.42005,0.2566,1.35471,1.07014,1.00638,0.00973312,0.00973312,0.00973312
23,2241.86,1.39094,1.06374,0.99653,0.5141,0.43238,0.4326,0.26521,1.3439,1.05416,1.00319,0.00970736,0.00970736,0.00970736
24,2336.73,1.37948,1.05497,0.99467,0.50786,0.41815,0.43122,0.26455,1.34507,1.05223,1.00366,0.00968045,0.00968045,0.00968045
25,2431.88,1.38206,1.04916,0.99304,0.51107,0.41579,0.42384,0.26056,1.34935,1.05956,1.00551,0.00965239,0.00965239,0.00965239
26,2527.15,1.37093,1.04193,0.99101,0.50814,0.4308,0.43376,0.2668,1.35468,1.05069,1.00263,0.0096232,0.0096232,0.0096232
27,2623.45,1.38265,1.04444,0.99204,0.52667,0.42175,0.43872,0.26989,1.34812,1.04941,1.00029,0.00959289,0.00959289,0.00959289
28,2718.65,1.3745,1.03526,0.9898,0.5134,0.42443,0.43635,0.26801,1.34055,1.04051,1.00012,0.00956145,0.00956145,0.00956145
29,2813.62,1.37386,1.02808,0.98915,0.51989,0.4344,0.443,0.2737,1.3428,1.03431,0.999,0.00952889,0.00952889,0.00952889
30,2909.23,1.37823,1.03172,0.98706,0.52718,0.43112,0.44521,0.27349,1.33811,1.03109,0.99896,0.00949524,0.00949524,0.00949524
31,3004.54,1.3644,1.0166,0.98459,0.52825,0.4328,0.44742,0.27259,1.33651,1.03184,0.9984,0.00946048,0.00946048,0.00946048
32,3100.11,1.36061,1.01009,0.98238,0.53893,0.43243,0.44983,0.27718,1.33003,1.0146,0.99423,0.00942464,0.00942464,0.00942464
33,3195.6,1.35819,1.01009,0.98624,0.53497,0.436,0.44989,0.27653,1.32853,1.0165,0.99378,0.00938772,0.00938772,0.00938772
34,3291.25,1.36107,1.0061,0.98352,0.53577,0.43421,0.45115,0.27841,1.32927,1.01809,0.99384,0.00934973,0.00934973,0.00934973
35,3386.24,1.3511,0.99975,0.98255,0.53874,0.43152,0.4534,0.28031,1.32261,1.0129,0.99285,0.00931067,0.00931067,0.00931067
36,3481.72,1.35671,1.00142,0.983,0.54494,0.43632,0.45429,0.28004,1.3256,1.01084,0.99365,0.00927057,0.00927057,0.00927057
37,3577,1.35144,0.99772,0.98169,0.54651,0.44424,0.46127,0.28335,1.3255,0.9981,0.9917,0.00922942,0.00922942,0.00922942
38,3673.59,1.35824,0.99698,0.97934,0.53886,0.44371,0.45926,0.2853,1.31979,1.00431,0.98869,0.00918725,0.00918725,0.00918725
39,3769.89,1.34838,0.99299,0.97767,0.56783,0.43302,0.46005,0.2841,1.32562,1.01078,0.99461,0.00914405,0.00914405,0.00914405
40,3864.72,1.34499,0.98761,0.97771,0.54723,0.43701,0.45785,0.28245,1.31636,0.99897,0.99271,0.00909984,0.00909984,0.00909984
41,3960.15,1.34675,0.98963,0.97692,0.54472,0.44549,0.46426,0.28564,1.31478,0.99245,0.98736,0.00905463,0.00905463,0.00905463
42,4055.42,1.34369,0.98274,0.97798,0.56197,0.4394,0.46341,0.2862,1.31537,0.9991,0.98874,0.00900844,0.00900844,0.00900844
43,4150.94,1.33477,0.97292,0.97494,0.56192,0.43958,0.46579,0.28805,1.3222,0.99251,0.98818,0.00896127,0.00896127,0.00896127
44,4246.72,1.34605,0.98063,0.97653,0.54651,0.45053,0.46669,0.28837,1.31965,0.99182,0.98893,0.00891313,0.00891313,0.00891313
45,4342.69,1.34115,0.97585,0.9754,0.54363,0.45371,0.46573,0.28783,1.31084,0.99107,0.98605,0.00886404,0.00886404,0.00886404
46,4438.91,1.33925,0.97265,0.97484,0.56337,0.44631,0.46919,0.29058,1.31434,0.98335,0.98365,0.00881401,0.00881401,0.00881401
47,4534.7,1.33787,0.96945,0.97376,0.56434,0.45152,0.46981,0.28942,1.32104,0.98656,0.98849,0.00876305,0.00876305,0.00876305
48,4630.62,1.32869,0.96395,0.97309,0.54652,0.45452,0.47156,0.2909,1.31485,0.97944,0.98734,0.00871117,0.00871117,0.00871117
49,4725.87,1.33181,0.96421,0.97159,0.5551,0.45229,0.4725,0.29128,1.30914,0.97867,0.9821,0.00865839,0.00865839,0.00865839
50,4821.72,1.33386,0.96431,0.97311,0.5559,0.45229,0.47099,0.29065,1.30839,0.97739,0.9841,0.00860473,0.00860473,0.00860473
51,4917.53,1.32493,0.9583,0.96983,0.54067,0.46074,0.47376,0.29297,1.30844,0.97936,0.98293,0.00855018,0.00855018,0.00855018
52,5013.8,1.31974,0.95239,0.96891,0.55314,0.45066,0.47068,0.29134,1.31103,0.98188,0.98439,0.00849477,0.00849477,0.00849477
53,5109.76,1.33081,0.95858,0.97048,0.56716,0.44853,0.47619,0.29488,1.31025,0.9771,0.98457,0.00843851,0.00843851,0.00843851
54,5205.58,1.32959,0.95124,0.96943,0.56277,0.44983,0.47598,0.29515,1.3053,0.96896,0.98173,0.00838141,0.00838141,0.00838141
55,5301.19,1.3187,0.94672,0.97006,0.56588,0.45081,0.47549,0.29402,1.30188,0.96916,0.98102,0.00832349,0.00832349,0.00832349
56,5397.07,1.32213,0.94783,0.96863,0.56513,0.46194,0.47966,0.29689,1.3069,0.96672,0.98089,0.00826477,0.00826477,0.00826477
57,5492.77,1.31971,0.94818,0.96863,0.56591,0.45252,0.47544,0.29446,1.29939,0.96875,0.98079,0.00820525,0.00820525,0.00820525
58,5588.22,1.31282,0.94198,0.96755,0.57174,0.45621,0.4791,0.29747,1.3011,0.96579,0.98041,0.00814495,0.00814495,0.00814495
59,5683.19,1.31766,0.94406,0.96827,0.56053,0.46111,0.48076,0.2981,1.30284,0.96664,0.98164,0.00808389,0.00808389,0.00808389
60,5779.02,1.31573,0.94006,0.96595,0.56236,0.45652,0.48,0.29818,1.3034,0.96408,0.98215,0.00802208,0.00802208,0.00802208
61,5874.57,1.31098,0.93739,0.96412,0.56192,0.45921,0.48025,0.29765,1.30127,0.96226,0.98104,0.00795954,0.00795954,0.00795954
62,5969.61,1.31368,0.93165,0.96588,0.56661,0.45883,0.48101,0.29863,1.29787,0.96016,0.97911,0.00789628,0.00789628,0.00789628
63,6065.64,1.31562,0.93695,0.96615,0.56193,0.46147,0.48411,0.29951,1.29904,0.95821,0.98063,0.00783231,0.00783231,0.00783231
64,6161.02,1.31383,0.93716,0.96492,0.57277,0.457,0.48314,0.30022,1.29908,0.95859,0.97999,0.00776766,0.00776766,0.00776766
65,6257,1.31276,0.93181,0.96387,0.57057,0.45916,0.48385,0.30042,1.29668,0.95267,0.9782,0.00770234,0.00770234,0.00770234
66,6352.48,1.31066,0.93041,0.96289,0.57733,0.46055,0.48484,0.30106,1.29934,0.95479,0.979,0.00763637,0.00763637,0.00763637
67,6447.89,1.30802,0.92411,0.96224,0.56301,0.45943,0.48154,0.2992,1.29921,0.95736,0.97833,0.00756976,0.00756976,0.00756976
68,6542.72,1.30276,0.91955,0.96289,0.57065,0.46217,0.48592,0.30237,1.29622,0.95559,0.97813,0.00750252,0.00750252,0.00750252
69,6637.45,1.30175,0.92385,0.96293,0.56378,0.47049,0.48528,0.30218,1.29584,0.95671,0.97855,0.00743468,0.00743468,0.00743468
70,6732.65,1.30509,0.92679,0.96394,0.56786,0.46514,0.48472,0.30173,1.29425,0.95205,0.97716,0.00736625,0.00736625,0.00736625
71,6828.68,1.30427,0.91909,0.96274,0.57244,0.46248,0.48716,0.30281,1.2922,0.95209,0.97623,0.00729725,0.00729725,0.00729725
72,6924.07,1.30251,0.9177,0.96172,0.56283,0.46789,0.4879,0.30319,1.29175,0.95116,0.97722,0.0072277,0.0072277,0.0072277
73,7019.08,1.29353,0.91092,0.95891,0.57071,0.46194,0.48673,0.30199,1.29651,0.95149,0.97671,0.00715761,0.00715761,0.00715761
74,7114.71,1.29852,0.91313,0.96071,0.55855,0.46801,0.48836,0.30276,1.29079,0.94849,0.97489,0.007087,0.007087,0.007087
75,7209.95,1.28642,0.90687,0.95935,0.56864,0.46317,0.48805,0.30309,1.29081,0.9493,0.9769,0.00701588,0.00701588,0.00701588
76,7305.18,1.29555,0.91233,0.96037,0.56436,0.46439,0.48689,0.30224,1.2951,0.94907,0.97675,0.00694428,0.00694428,0.00694428
77,7400.41,1.29272,0.90538,0.95775,0.5677,0.4704,0.4885,0.30347,1.29492,0.94982,0.97651,0.00687222,0.00687222,0.00687222
78,7495.96,1.29283,0.90508,0.95863,0.56412,0.46672,0.48817,0.30324,1.29411,0.94907,0.97638,0.0067997,0.0067997,0.0067997
79,7591.45,1.292,0.90501,0.95865,0.57276,0.46597,0.48733,0.30307,1.29527,0.9504,0.97757,0.00672675,0.00672675,0.00672675
80,7686.68,1.28621,0.9006,0.9561,0.57199,0.46413,0.48858,0.30422,1.2889,0.94647,0.97501,0.00665339,0.00665339,0.00665339
81,7783.11,1.28838,0.89871,0.95518,0.57626,0.46443,0.4886,0.30451,1.29094,0.9461,0.97538,0.00657963,0.00657963,0.00657963
82,7878.66,1.2891,0.90028,0.95911,0.5793,0.46495,0.48986,0.30479,1.29214,0.94529,0.97656,0.0065055,0.0065055,0.0065055
83,7974.8,1.28714,0.8977,0.95642,0.58781,0.46403,0.491,0.30558,1.28944,0.9442,0.97521,0.00643101,0.00643101,0.00643101
84,8069.69,1.28724,0.89775,0.95631,0.57952,0.4673,0.49203,0.30667,1.28685,0.94152,0.97375,0.00635617,0.00635617,0.00635617
85,8164.45,1.27892,0.89363,0.95588,0.58511,0.46335,0.48984,0.30416,1.28793,0.94562,0.97432,0.00628101,0.00628101,0.00628101
86,8259.85,1.2898,0.89683,0.95664,0.57292,0.4644,0.4893,0.3041,1.28902,0.94365,0.9743,0.00620555,0.00620555,0.00620555
87,8355.01,1.29009,0.89669,0.95593,0.57708,0.4661,0.49071,0.30591,1.28893,0.94171,0.97484,0.00612981,0.00612981,0.00612981
88,8450.12,1.27919,0.88903,0.95304,0.57787,0.46875,0.49332,0.30738,1.28878,0.93985,0.97449,0.0060538,0.0060538,0.0060538
89,8545.97,1.28376,0.88835,0.95545,0.57568,0.46688,0.49216,0.30649,1.29151,0.94046,0.97568,0.00597754,0.00597754,0.00597754
90,8641.75,1.28271,0.88904,0.954,0.5747,0.46759,0.49161,0.30637,1.28989,0.9395,0.97478,0.00590105,0.00590105,0.00590105
91,8737.33,1.28061,0.88378,0.95177,0.5663,0.47008,0.49184,0.30555,1.29159,0.94082,0.97507,0.00582435,0.00582435,0.00582435
92,8832.71,1.27524,0.88474,0.95121,0.57139,0.46995,0.49318,0.30592,1.29086,0.9402,0.97465,0.00574746,0.00574746,0.00574746
93,8927.55,1.27256,0.88369,0.95247,0.57602,0.46838,0.49194,0.30521,1.29188,0.94028,0.97434,0.0056704,0.0056704,0.0056704
94,9023.41,1.27744,0.87779,0.95153,0.57101,0.47177,0.49245,0.30496,1.29304,0.93983,0.97492,0.00559318,0.00559318,0.00559318
95,9119.15,1.27756,0.88261,0.95335,0.57641,0.46965,0.49423,0.30714,1.28823,0.93991,0.97374,0.00551584,0.00551584,0.00551584
96,9215.02,1.27409,0.87838,0.95139,0.57096,0.4725,0.49392,0.30721,1.28796,0.93837,0.9733,0.00543837,0.00543837,0.00543837
97,9310.5,1.2711,0.87494,0.95107,0.57826,0.46767,0.4922,0.30634,1.28829,0.93822,0.97344,0.00536081,0.00536081,0.00536081
98,9406.38,1.26725,0.86747,0.95091,0.57792,0.46583,0.49115,0.30548,1.28863,0.93872,0.9734,0.00528318,0.00528318,0.00528318
99,9502.07,1.26922,0.8725,0.94957,0.58922,0.46107,0.49116,0.30588,1.28794,0.93785,0.97312,0.00520548,0.00520548,0.00520548
100,9597.65,1.27233,0.87454,0.95071,0.57904,0.46425,0.49212,0.30614,1.28756,0.93864,0.97304,0.00512775,0.00512775,0.00512775
101,9693.47,1.26634,0.86872,0.94953,0.58414,0.4653,0.49397,0.3072,1.28838,0.93866,0.97308,0.00505,0.00505,0.00505
102,9789.63,1.26504,0.86949,0.94911,0.5859,0.46576,0.49492,0.30698,1.28914,0.93834,0.97319,0.00497225,0.00497225,0.00497225
103,9885.57,1.2611,0.8625,0.94619,0.58148,0.46459,0.49439,0.30744,1.29012,0.93826,0.97348,0.00489452,0.00489452,0.00489452
104,9981.21,1.26491,0.86301,0.9482,0.58534,0.46362,0.49458,0.30755,1.28916,0.93705,0.97327,0.00481682,0.00481682,0.00481682
105,10076.9,1.26628,0.86595,0.9477,0.59105,0.46123,0.49386,0.30686,1.28974,0.93685,0.97325,0.00473919,0.00473919,0.00473919
106,10173,1.26355,0.86261,0.94717,0.59099,0.46158,0.49491,0.30715,1.28958,0.93674,0.97306,0.00466163,0.00466163,0.00466163
107,10269,1.2592,0.85594,0.94829,0.58672,0.46281,0.49583,0.30807,1.28817,0.93589,0.97276,0.00458416,0.00458416,0.00458416
108,10364.2,1.25701,0.85548,0.94641,0.59297,0.46319,0.4946,0.30768,1.28879,0.9363,0.97298,0.00450682,0.00450682,0.00450682
109,10460.1,1.25903,0.85721,0.94729,0.58874,0.46384,0.49422,0.3073,1.28927,0.9362,0.9731,0.0044296,0.0044296,0.0044296
110,10556,1.26839,0.86062,0.94785,0.59037,0.46373,0.49471,0.30796,1.28816,0.93563,0.97268,0.00435254,0.00435254,0.00435254
111,10653,1.26606,0.86062,0.94581,0.59075,0.46366,0.49338,0.30753,1.28888,0.93527,0.97259,0.00427565,0.00427565,0.00427565
112,10748.2,1.25215,0.85307,0.94443,0.59061,0.46257,0.49328,0.3076,1.28878,0.93571,0.97266,0.00419895,0.00419895,0.00419895
113,10843.5,1.26202,0.85353,0.9449,0.58966,0.46423,0.49389,0.30745,1.28944,0.93593,0.9727,0.00412246,0.00412246,0.00412246
114,10938.4,1.25216,0.84673,0.94493,0.58992,0.46313,0.49385,0.30748,1.28943,0.93616,0.97248,0.0040462,0.0040462,0.0040462
115,11034.3,1.24791,0.84665,0.94281,0.59161,0.46326,0.49424,0.30799,1.28916,0.93569,0.97255,0.00397019,0.00397019,0.00397019
116,11129.6,1.25462,0.8481,0.94463,0.58284,0.46947,0.49523,0.30817,1.28943,0.936,0.97243,0.00389445,0.00389445,0.00389445
117,11225.8,1.24948,0.84471,0.94386,0.58114,0.47208,0.49602,0.3084,1.28929,0.93594,0.97215,0.00381899,0.00381899,0.00381899
118,11320.8,1.25091,0.84516,0.94267,0.57709,0.47396,0.49606,0.30821,1.29056,0.93573,0.97228,0.00374383,0.00374383,0.00374383
119,11416.3,1.24795,0.84381,0.94305,0.5754,0.47542,0.49523,0.30811,1.29064,0.9357,0.97239,0.00366899,0.00366899,0.00366899
120,11511.9,1.24465,0.83533,0.94378,0.57548,0.47356,0.49497,0.30803,1.29044,0.9357,0.97224,0.0035945,0.0035945,0.0035945
121,11606.8,1.24956,0.84148,0.94301,0.58367,0.46816,0.49523,0.30727,1.29034,0.93555,0.97214,0.00352037,0.00352037,0.00352037
122,11702.4,1.24689,0.83877,0.94304,0.58681,0.46872,0.4955,0.30774,1.29027,0.93497,0.97231,0.00344661,0.00344661,0.00344661
123,11798.1,1.25274,0.84196,0.94279,0.5838,0.46891,0.49511,0.3078,1.29088,0.93525,0.97263,0.00337325,0.00337325,0.00337325
124,11893.8,1.24128,0.83478,0.94001,0.58361,0.46974,0.49557,0.30777,1.29058,0.93519,0.97261,0.0033003,0.0033003,0.0033003
125,11989.2,1.24826,0.83734,0.94058,0.58383,0.46934,0.49518,0.30762,1.29085,0.93518,0.97258,0.00322778,0.00322778,0.00322778
126,12084.1,1.24541,0.83387,0.94123,0.5796,0.47248,0.49566,0.30772,1.29087,0.9348,0.97245,0.00315572,0.00315572,0.00315572
127,12179.6,1.245,0.83343,0.94012,0.57921,0.47205,0.49496,0.30765,1.29132,0.93462,0.97248,0.00308412,0.00308412,0.00308412
128,12275,1.23423,0.8273,0.93788,0.58141,0.47005,0.49521,0.30725,1.2908,0.93439,0.97227,0.003013,0.003013,0.003013
129,12370.2,1.23886,0.82675,0.93799,0.57885,0.47199,0.49504,0.30714,1.29119,0.93478,0.97237,0.00294239,0.00294239,0.00294239
130,12465,1.23887,0.82744,0.93909,0.58117,0.47037,0.4946,0.30706,1.29152,0.93514,0.97239,0.0028723,0.0028723,0.0028723
131,12560.9,1.24157,0.82935,0.93963,0.58376,0.47019,0.49456,0.30683,1.29165,0.93535,0.97243,0.00280275,0.00280275,0.00280275
132,12655.6,1.2352,0.82371,0.9389,0.58711,0.46796,0.49448,0.30688,1.29182,0.93514,0.9724,0.00273375,0.00273375,0.00273375
133,12750.7,1.23243,0.8213,0.93734,0.58534,0.46889,0.49486,0.30709,1.29193,0.93541,0.97234,0.00266532,0.00266532,0.00266532
134,12846.1,1.2316,0.81561,0.9373,0.58626,0.46837,0.49442,0.30711,1.29209,0.93544,0.9723,0.00259748,0.00259748,0.00259748
135,12940.9,1.2377,0.81915,0.93578,0.59423,0.46665,0.49495,0.30725,1.29215,0.93498,0.97246,0.00253024,0.00253024,0.00253024
136,13036.3,1.23243,0.81931,0.93663,0.5918,0.46699,0.49485,0.30744,1.2922,0.93552,0.97253,0.00246363,0.00246363,0.00246363
137,13131.5,1.22867,0.81205,0.93529,0.58902,0.46906,0.49478,0.30729,1.29226,0.9358,0.97266,0.00239766,0.00239766,0.00239766
138,13226.7,1.23183,0.81572,0.93688,0.58804,0.46917,0.49468,0.30724,1.29285,0.93615,0.97267,0.00233234,0.00233234,0.00233234
139,13322.4,1.22303,0.81154,0.93472,0.59265,0.46809,0.49491,0.30755,1.29296,0.93623,0.97256,0.00226769,0.00226769,0.00226769
140,13418.5,1.23446,0.81365,0.93615,0.59316,0.46816,0.49519,0.30745,1.29284,0.93611,0.97236,0.00220372,0.00220372,0.00220372
141,13514.3,1.23173,0.81408,0.93662,0.59405,0.46851,0.49511,0.30729,1.29312,0.93635,0.97247,0.00214046,0.00214046,0.00214046
142,13608.8,1.23545,0.81832,0.93759,0.59349,0.46856,0.49509,0.30719,1.29327,0.93649,0.97248,0.00207792,0.00207792,0.00207792
143,13704.2,1.22766,0.81102,0.93498,0.59361,0.46854,0.49547,0.30749,1.29293,0.93631,0.97231,0.00201611,0.00201611,0.00201611
144,13799.7,1.22753,0.80582,0.93388,0.59162,0.4692,0.49521,0.30763,1.29332,0.93617,0.97244,0.00195505,0.00195505,0.00195505
145,13895.9,1.22403,0.80667,0.93247,0.59009,0.46971,0.49528,0.30754,1.29373,0.93654,0.9725,0.00189475,0.00189475,0.00189475
146,13992.2,1.22762,0.80554,0.93385,0.59179,0.46923,0.49514,0.30751,1.29387,0.9363,0.97244,0.00183523,0.00183523,0.00183523
147,14087.5,1.22152,0.80283,0.93358,0.5894,0.47123,0.49523,0.30757,1.29421,0.93666,0.9724,0.00177651,0.00177651,0.00177651
148,14183.5,1.21684,0.79838,0.93057,0.58919,0.47151,0.49481,0.30716,1.29444,0.93668,0.97238,0.00171859,0.00171859,0.00171859
149,14279.2,1.22023,0.80205,0.93233,0.58839,0.47067,0.49486,0.30726,1.29435,0.93653,0.97231,0.00166149,0.00166149,0.00166149
150,14373.9,1.22003,0.79873,0.93192,0.5886,0.47081,0.49491,0.30711,1.29459,0.93694,0.97237,0.00160523,0.00160523,0.00160523
151,14469.5,1.22309,0.80086,0.93229,0.58992,0.47057,0.4953,0.30722,1.29496,0.93695,0.97248,0.00154982,0.00154982,0.00154982
152,14565.2,1.2143,0.79513,0.93188,0.58708,0.47223,0.49518,0.30708,1.29535,0.93719,0.97245,0.00149527,0.00149527,0.00149527
153,14659.8,1.218,0.79797,0.93377,0.5899,0.46963,0.49457,0.307,1.29534,0.93718,0.9726,0.00144161,0.00144161,0.00144161
154,14755.1,1.21047,0.7919,0.9293,0.58554,0.47177,0.49468,0.30701,1.29532,0.93703,0.97259,0.00138883,0.00138883,0.00138883
155,14851.1,1.21706,0.79521,0.93079,0.58862,0.4705,0.49447,0.30684,1.29513,0.9373,0.97259,0.00133695,0.00133695,0.00133695
156,14946.5,1.21473,0.79248,0.92971,0.58863,0.47028,0.49458,0.30681,1.29537,0.9374,0.97262,0.00128599,0.00128599,0.00128599
157,15041.8,1.21576,0.79424,0.93147,0.58576,0.47199,0.49438,0.30662,1.29574,0.93782,0.97263,0.00123596,0.00123596,0.00123596
158,15136.8,1.2119,0.79001,0.93043,0.58553,0.47152,0.49401,0.30635,1.29602,0.93802,0.9727,0.00118687,0.00118687,0.00118687
159,15231.8,1.20914,0.78793,0.92918,0.58581,0.47072,0.4937,0.30626,1.29607,0.93797,0.9727,0.00113873,0.00113873,0.00113873
160,15327.1,1.20915,0.78575,0.93083,0.5864,0.4709,0.49357,0.30619,1.29631,0.93789,0.97273,0.00109156,0.00109156,0.00109156
161,15422.7,1.21421,0.7893,0.93102,0.58647,0.47079,0.49335,0.30626,1.29625,0.93779,0.97271,0.00104537,0.00104537,0.00104537
162,15518.3,1.21011,0.78506,0.92806,0.58583,0.4703,0.49346,0.30635,1.29637,0.93805,0.97272,0.00100016,0.00100016,0.00100016
163,15613.4,1.21337,0.7882,0.92965,0.58603,0.47026,0.49355,0.30612,1.2965,0.93812,0.97276,0.000955951,0.000955951,0.000955951
