epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.096,1.63794,2.50903,1.15059,0.39334,0.21219,0.17143,0.0978,1.50465,1.59001,1.10794,0.00199506,0.00199506,0.0820444
2,229.625,1.55016,1.65417,1.09377,0.28573,0.28167,0.23919,0.13859,1.49346,1.44766,1.08932,0.00399482,0.00399482,0.0640442
3,329.063,1.5495,1.50076,1.07709,0.36969,0.30914,0.28278,0.16863,1.45468,1.34832,1.06501,0.0059936,0.0059936,0.046043
4,428.028,1.55241,1.445,1.06691,0.36402,0.33406,0.30114,0.17865,1.44422,1.33447,1.06001,0.00799067,0.00799067,0.0280401
5,525.351,1.55668,1.41584,1.06448,0.38644,0.33186,0.30791,0.18252,1.46677,1.32799,1.05291,0.0099853,0.0099853,0.0100347
6,622.045,1.53315,1.36608,1.05357,0.39621,0.33935,0.31816,0.19119,1.44977,1.27609,1.04616,0.00998474,0.00998474,0.00998474
7,718.824,1.51602,1.32607,1.04301,0.41152,0.35651,0.34108,0.2058,1.43491,1.24411,1.04171,0.00997803,0.00997803,0.00997803
8,815.062,1.49602,1.28856,1.03913,0.4192,0.36608,0.34974,0.20737,1.42136,1.20826,1.03634,0.00997011,0.00997011,0.00997011
9,911.983,1.48027,1.25664,1.02924,0.45007,0.36335,0.35551,0.21375,1.41581,1.19437,1.03176,0.00996097,0.00996097,0.00996097
10,1008.36,1.47677,1.23395,1.02757,0.44688,0.37311,0.37027,0.21999,1.41936,1.18757,1.03704,0.00995062,0.00995062,0.00995062
11,1104.45,1.44942,1.19548,1.01991,0.47786,0.38899,0.38759,0.23316,1.38587,1.13778,1.02025,0.00993906,0.00993906,0.00993906
12,1201.05,1.44526,1.17898,1.01597,0.47586,0.40144,0.39013,0.23834,1.37904,1.14198,1.02103,0.00992629,0.00992629,0.00992629
13,1297.86,1.45019,1.16852,1.01513,0.45266,0.39071,0.38263,0.23069,1.38995,1.14884,1.01932,0.00991232,0.00991232,0.00991232
14,1394.05,1.43338,1.15823,1.01163,0.48209,0.39818,0.40107,0.24485,1.37654,1.11451,1.01626,0.00989715,0.00989715,0.00989715
15,1490.94,1.43171,1.13976,1.00961,0.48569,0.40187,0.40563,0.24588,1.37352,1.11655,1.01375,0.00988079,0.00988079,0.00988079
16,1586.77,1.41923,1.13469,1.00825,0.46507,0.39945,0.40144,0.24491,1.36301,1.10726,1.01167,0.00986323,0.00986323,0.00986323
17,1683.16,1.42653,1.12841,1.00855,0.46889,0.40769,0.40299,0.24561,1.36301,1.1006,1.00651,0.00984449,0.00984449,0.00984449
18,1780.08,1.41417,1.10944,1.00213,0.49612,0.40326,0.41507,0.25316,1.36559,1.08362,1.00702,0.00982456,0.00982456,0.00982456
19,1876.01,1.40902,1.1033,1.00295,0.49871,0.40426,0.41737,0.25491,1.3598,1.0886,1.00883,0.00980345,0.00980345,0.00980345
20,1972.75,1.4055,1.0984,0.99848,0.50524,0.41749,0.42739,0.26112,1.36118,1.06829,1.00484,0.00978118,0.00978118,0.00978118
21,2069,1.40527,1.0888,1.00032,0.49534,0.41666,0.42078,0.25688,1.3596,1.07416,1.00572,0.00975773,0.00975773,0.00975773
22,2165.53,1.41032,1.09576,1.00159,0.50672,0.41206,0.42295,0.25782,1.35235,1.07818,1.00561,0.00973312,0.00973312,0.00973312
23,2262.31,1.3996,1.08333,0.99675,0.50438,0.41878,0.42706,0.26116,1.34787,1.07305,1.00445,0.00970736,0.00970736,0.00970736
24,2358.59,1.38676,1.07309,0.99464,0.50415,0.41778,0.42508,0.26136,1.35158,1.05452,1.00099,0.00968045,0.00968045,0.00968045
25,2455.01,1.38885,1.06839,0.99306,0.52405,0.42466,0.43671,0.26821,1.34398,1.05059,1.0062,0.00965239,0.00965239,0.00965239
26,2550.71,1.37955,1.06113,0.99166,0.52798,0.41665,0.43623,0.26843,1.34096,1.04958,0.99874,0.0096232,0.0096232,0.0096232
27,2647.09,1.39044,1.06436,0.9926,0.51796,0.42858,0.43784,0.26931,1.33909,1.04566,0.99644,0.00959289,0.00959289,0.00959289
28,2743.59,1.38241,1.05632,0.99001,0.52025,0.43034,0.44039,0.26959,1.33654,1.03618,0.99504,0.00956145,0.00956145,0.00956145
29,2839.34,1.38152,1.04711,0.98945,0.52403,0.43302,0.44747,0.27285,1.34234,1.03539,0.99819,0.00952889,0.00952889,0.00952889
30,2935.52,1.38721,1.05221,0.98848,0.5331,0.43297,0.44891,0.27477,1.33229,1.03416,0.99599,0.00949524,0.00949524,0.00949524
31,3032.05,1.37348,1.03635,0.98674,0.51423,0.43711,0.4466,0.2729,1.32731,1.02897,0.99455,0.00946048,0.00946048,0.00946048
32,3128.21,1.3709,1.03016,0.98442,0.53889,0.43092,0.44958,0.27553,1.33113,1.02682,0.99708,0.00942464,0.00942464,0.00942464
33,3224.44,1.36926,1.0312,0.98821,0.52417,0.43923,0.45392,0.28001,1.3307,1.02475,0.99554,0.00938772,0.00938772,0.00938772
34,3320.74,1.37017,1.02885,0.98539,0.54165,0.43493,0.45326,0.27957,1.32779,1.02157,0.99298,0.00934973,0.00934973,0.00934973
35,3416.63,1.35793,1.01971,0.98366,0.53794,0.43568,0.45622,0.28118,1.31948,1.02255,0.99293,0.00931067,0.00931067,0.00931067
36,3512.81,1.36495,1.02142,0.98483,0.5392,0.44304,0.45539,0.28108,1.33069,1.01818,0.99345,0.00927057,0.00927057,0.00927057
37,3608.82,1.3602,1.01704,0.9826,0.54067,0.4402,0.45824,0.28235,1.32104,1.00569,0.99034,0.00922942,0.00922942,0.00922942
38,3706.31,1.36826,1.01746,0.9821,0.54447,0.4421,0.46271,0.28584,1.31602,1.01218,0.98789,0.00918725,0.00918725,0.00918725
39,3803.19,1.35814,1.01419,0.97974,0.54904,0.4426,0.46439,0.28597,1.32137,1.01282,0.98967,0.00914405,0.00914405,0.00914405
40,3899.88,1.3543,1.00865,0.97913,0.53395,0.44295,0.45775,0.283,1.31547,1.01417,0.98854,0.00909984,0.00909984,0.00909984
41,3996.69,1.35589,1.00943,0.97905,0.56162,0.44112,0.4675,0.28819,1.31505,0.99683,0.98585,0.00905463,0.00905463,0.00905463
42,4092.73,1.35362,1.00282,0.98055,0.54076,0.44827,0.46272,0.28628,1.31065,1.00154,0.98516,0.00900844,0.00900844,0.00900844
43,4188.97,1.34596,0.99499,0.97759,0.56357,0.44949,0.47099,0.29164,1.31587,0.99255,0.98679,0.00896127,0.00896127,0.00896127
