epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,444.398,2.09094,4.79111,1.25433,0.39959,0.09476,0.10724,0.06702,2.03909,3.15738,1.21387,0.000166548,0.000166548,0.000166548
2,758.726,2.05737,3.63372,1.21507,0.54394,0.17152,0.14933,0.08967,2.04628,2.73742,1.23952,0.000329916,0.000329916,0.000329916
3,1067.81,2.0598,3.21288,1.20402,0.67688,0.17503,0.18554,0.11258,1.98556,2.32172,1.20651,0.000489984,0.000489984,0.000489984
4,1373.69,2.02669,2.98769,1.19496,0.62924,0.20225,0.21066,0.11845,1.95942,2.18654,1.19159,0.00048515,0.00048515,0.00048515
5,1684.99,1.98013,2.7195,1.18543,0.62423,0.19701,0.20443,0.11636,1.95045,2.22868,1.20608,0.0004802,0.0004802,0.0004802
6,1994.21,1.96229,2.48403,1.17699,0.47147,0.25122,0.22758,0.13323,1.9235,2.12116,1.16556,0.00047525,0.00047525,0.00047525
7,2312.87,1.90943,2.3043,1.15688,0.45055,0.23468,0.22351,0.13244,1.90056,2.02465,1.14172,0.0004703,0.0004703,0.0004703
8,2626.59,1.88653,2.17386,1.1552,0.46376,0.26278,0.2571,0.15416,1.85451,1.92663,1.1313,0.00046535,0.00046535,0.00046535
9,2946.37,1.89714,2.21625,1.14996,0.49657,0.28146,0.26738,0.15775,1.88115,1.85018,1.13698,0.0004604,0.0004604,0.0004604
10,3263.31,1.89293,2.13688,1.13544,0.44932,0.28252,0.25633,0.15438,1.89534,1.87155,1.13299,0.00045545,0.00045545,0.00045545
11,3577.88,1.84481,1.93597,1.12683,0.55409,0.26967,0.29187,0.17914,1.83418,1.72746,1.12953,0.0004505,0.0004505,0.0004505
12,3889.74,1.8544,1.92273,1.12912,0.55606,0.28497,0.30153,0.18215,1.79483,1.71977,1.11482,0.00044555,0.00044555,0.00044555
13,4204.29,1.85616,1.92806,1.12983,0.48879,0.30869,0.3081,0.18579,1.83406,1.77408,1.13128,0.0004406,0.0004406,0.0004406
14,4518.5,1.80955,1.85921,1.11903,0.524,0.30844,0.31163,0.18696,1.81889,1.70711,1.1165,0.00043565,0.00043565,0.00043565
15,4828.55,1.81848,1.7971,1.12077,0.53936,0.30678,0.3276,0.19971,1.80655,1.8764,1.12109,0.0004307,0.0004307,0.0004307
16,5139.09,1.78512,1.75128,1.10541,0.54023,0.30696,0.31809,0.19459,1.80838,1.66336,1.10096,0.00042575,0.00042575,0.00042575
17,5452.63,1.7961,1.67078,1.10189,0.55717,0.31922,0.33452,0.2027,1.7908,1.64259,1.0957,0.0004208,0.0004208,0.0004208
18,5763.86,1.78747,1.66431,1.10568,0.57718,0.31881,0.33913,0.20507,1.7958,1.57953,1.09414,0.00041585,0.00041585,0.00041585
19,6085.95,1.78906,1.64974,1.0961,0.58123,0.31435,0.33419,0.20257,1.77307,1.5961,1.08938,0.0004109,0.0004109,0.0004109
20,6400.06,1.77491,1.67594,1.09241,0.56072,0.32433,0.33685,0.20354,1.77867,1.57697,1.09578,0.00040595,0.00040595,0.00040595
21,6716.94,1.725,1.58059,1.09716,0.54821,0.33702,0.34241,0.20662,1.76895,1.53438,1.09396,0.000401,0.000401,0.000401
22,7033.46,1.73478,1.57666,1.08252,0.52783,0.32346,0.32962,0.20542,1.77335,1.6998,1.08341,0.00039605,0.00039605,0.00039605
23,7356.14,1.7376,1.54587,1.08604,0.59622,0.34517,0.36874,0.22458,1.7546,1.50242,1.09793,0.0003911,0.0003911,0.0003911
24,7677.24,1.72743,1.49862,1.07714,0.55517,0.36437,0.37392,0.22295,1.76024,1.49141,1.09291,0.00038615,0.00038615,0.00038615
25,7991.77,1.7627,1.54132,1.0828,0.59223,0.34143,0.36088,0.21903,1.7489,1.49265,1.08382,0.0003812,0.0003812,0.0003812
26,8307.73,1.72338,1.50108,1.07369,0.53631,0.34162,0.35419,0.21917,1.73972,1.55022,1.08966,0.00037625,0.00037625,0.00037625
27,8628.56,1.71169,1.4298,1.07433,0.57683,0.35553,0.37222,0.22496,1.73557,1.53525,1.08808,0.0003713,0.0003713,0.0003713
28,8942.98,1.72345,1.46089,1.06757,0.60773,0.35025,0.37626,0.22985,1.73552,1.42907,1.07682,0.00036635,0.00036635,0.00036635
29,9264.69,1.7174,1.47351,1.07765,0.62582,0.33754,0.37188,0.23033,1.72542,1.467,1.07474,0.0003614,0.0003614,0.0003614
30,9583.5,1.71067,1.46588,1.06274,0.61401,0.35503,0.38257,0.23325,1.73212,1.50086,1.07745,0.00035645,0.00035645,0.00035645
31,9903.82,1.71802,1.40822,1.06257,0.57155,0.34722,0.36481,0.22323,1.73049,1.51732,1.06843,0.0003515,0.0003515,0.0003515
32,10223.1,1.71814,1.40838,1.07159,0.62202,0.35262,0.37851,0.23112,1.72515,1.45804,1.07351,0.00034655,0.00034655,0.00034655
