epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.968,3.38447,5.85825,2.07341,0.55697,0.02169,0.02596,0.01202,3.07274,4.0187,1.71685,0.000166548,0.000166548,0.000166548
2,790.191,2.79579,4.56295,1.56081,0.6483,0.03641,0.04801,0.0235,2.72855,3.34433,1.51739,0.000329916,0.000329916,0.000329916
3,1115.32,2.67491,4.06459,1.47098,0.40954,0.06546,0.06318,0.03353,2.56756,3.09078,1.41913,0.000489984,0.000489984,0.000489984
4,1433.74,2.53871,3.89377,1.40764,0.43243,0.0817,0.08044,0.04396,2.44615,2.92699,1.3616,0.00048515,0.00048515,0.00048515
5,1752.81,2.4506,3.55824,1.3565,0.49081,0.10032,0.09714,0.05373,2.3716,2.85607,1.34182,0.0004802,0.0004802,0.0004802
6,2072.11,2.39115,3.28202,1.33235,0.59718,0.11278,0.10772,0.06255,2.32263,2.73683,1.31367,0.00047525,0.00047525,0.00047525
7,2405.91,2.32725,3.04258,1.3161,0.54455,0.1147,0.11979,0.06764,2.28102,2.73914,1.30458,0.0004703,0.0004703,0.0004703
8,2733.66,2.29059,2.84836,1.3042,0.51653,0.12263,0.12957,0.0718,2.24179,2.67713,1.28354,0.00046535,0.00046535,0.00046535
9,3060.13,2.27618,2.78802,1.28122,0.53544,0.14243,0.14228,0.07614,2.19366,2.54813,1.25529,0.0004604,0.0004604,0.0004604
10,3389.95,2.27651,2.7483,1.26954,0.65454,0.13494,0.15804,0.08865,2.16864,2.58802,1.24633,0.00045545,0.00045545,0.00045545
11,3714.36,2.19776,2.54301,1.24829,0.4591,0.17428,0.15801,0.08915,2.1545,2.55433,1.25391,0.0004505,0.0004505,0.0004505
12,4035.31,2.20007,2.49727,1.25337,0.66811,0.14398,0.17497,0.09774,2.13195,2.38736,1.23167,0.00044555,0.00044555,0.00044555
