epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,449.089,3.32188,5.78203,2.02442,0.45834,0.02589,0.03349,0.02214,2.77003,3.8476,1.56432,0.000166548,0.000166548,0.000166548
2,768.241,2.5126,4.47897,1.44394,0.75654,0.05885,0.05995,0.03717,2.43185,3.26058,1.42871,0.000329916,0.000329916,0.000329916
3,1087.22,2.39292,4.08852,1.3565,0.56241,0.07174,0.07815,0.04763,2.33333,3.14534,1.36116,0.000489984,0.000489984,0.000489984
4,1401.11,2.30352,3.95433,1.3121,0.63927,0.08965,0.09107,0.05702,2.2193,2.9455,1.2987,0.00048515,0.00048515,0.00048515
5,1719.23,2.24414,3.67193,1.29947,0.60934,0.09615,0.10514,0.06339,2.24161,2.86044,1.29373,0.0004802,0.0004802,0.0004802
6,2030.64,2.21709,3.39086,1.27672,0.50489,0.11791,0.12578,0.07564,2.15075,2.60802,1.25638,0.00047525,0.00047525,0.00047525
7,2348.68,2.1326,3.14362,1.24752,0.48925,0.12785,0.13773,0.08499,2.10063,2.54728,1.228,0.0004703,0.0004703,0.0004703
8,2665.19,2.09867,2.91075,1.24039,0.55747,0.13663,0.14404,0.0883,2.05337,2.53875,1.21605,0.00046535,0.00046535,0.00046535
9,2984.12,2.09722,2.8987,1.22299,0.5718,0.14457,0.15144,0.09206,2.05833,2.41615,1.19537,0.0004604,0.0004604,0.0004604
10,3301.86,2.0934,2.90212,1.21185,0.65774,0.14678,0.16001,0.09926,2.04257,2.3714,1.20398,0.00045545,0.00045545,0.00045545
11,3620.72,2.03805,2.66537,1.20184,0.56697,0.1635,0.17564,0.10555,2.03191,2.37932,1.1972,0.0004505,0.0004505,0.0004505
12,3940.31,2.04032,2.69612,1.20276,0.58225,0.16179,0.1782,0.10831,2.00832,2.26854,1.17857,0.00044555,0.00044555,0.00044555
13,4261.04,2.04263,2.58178,1.20213,0.64961,0.16246,0.17615,0.10789,2.0113,2.31658,1.17489,0.0004406,0.0004406,0.0004406
14,4581.07,1.98769,2.48677,1.18752,0.4758,0.17084,0.19325,0.11589,1.99092,2.18548,1.18488,0.00043565,0.00043565,0.00043565
15,4897.75,1.99127,2.4107,1.18239,0.40253,0.19624,0.19508,0.11724,1.96594,2.20516,1.17103,0.0004307,0.0004307,0.0004307
16,5213.22,1.97042,2.38329,1.1708,0.41597,0.19427,0.19398,0.11602,1.97805,2.26525,1.1673,0.00042575,0.00042575,0.00042575
17,5535.49,1.96748,2.22576,1.16239,0.3872,0.2088,0.19854,0.11932,1.99705,2.10404,1.15825,0.0004208,0.0004208,0.0004208
18,5860.34,1.95108,2.21794,1.17,0.42331,0.20201,0.20094,0.12184,1.93002,2.11467,1.15538,0.00041585,0.00041585,0.00041585
19,6196,1.95887,2.21951,1.15697,0.43954,0.21663,0.21853,0.13061,1.93146,2.05895,1.15164,0.0004109,0.0004109,0.0004109
20,6518.76,1.95569,2.21023,1.1517,0.48792,0.21621,0.21604,0.12963,1.95317,2.0854,1.16012,0.00040595,0.00040595,0.00040595
21,6841.99,1.91114,2.12781,1.16207,0.50788,0.21918,0.21117,0.12528,1.9518,2.08323,1.15651,0.000401,0.000401,0.000401
22,7160.74,1.90915,2.119,1.14304,0.54943,0.22932,0.22914,0.13746,1.90875,2.00475,1.1463,0.00039605,0.00039605,0.00039605
23,7493.99,1.89999,2.04874,1.1437,0.55244,0.21911,0.22534,0.13507,1.92531,2.04712,1.14726,0.0003911,0.0003911,0.0003911
24,7821.59,1.87887,2.0028,1.13427,0.54908,0.21492,0.22184,0.13267,1.89551,1.97985,1.14661,0.00038615,0.00038615,0.00038615
25,8142.28,1.92593,2.09457,1.13957,0.55455,0.21887,0.22559,0.13767,1.92104,2.034,1.13342,0.0003812,0.0003812,0.0003812
26,8465.8,1.8967,2.05749,1.13463,0.54686,0.23223,0.23094,0.13898,1.88207,2.00388,1.13922,0.00037625,0.00037625,0.00037625
27,8793.42,1.87673,1.92031,1.12612,0.55561,0.22866,0.24028,0.14372,1.89183,1.98492,1.13436,0.0003713,0.0003713,0.0003713
28,9110.19,1.88383,1.95274,1.12246,0.58345,0.22624,0.23952,0.14501,1.87986,1.97478,1.12673,0.00036635,0.00036635,0.00036635
29,9435.44,1.86668,1.956,1.12631,0.60304,0.21926,0.24778,0.15093,1.89304,1.94949,1.12013,0.0003614,0.0003614,0.0003614
30,9761.57,1.87268,1.9505,1.11695,0.57675,0.23654,0.24832,0.14924,1.88277,1.89732,1.12255,0.00035645,0.00035645,0.00035645
31,10087.8,1.87979,1.86489,1.11499,0.5789,0.23597,0.24634,0.14971,1.86649,1.96583,1.1259,0.0003515,0.0003515,0.0003515
32,10412.4,1.8692,1.88687,1.11872,0.5672,0.24553,0.25272,0.15437,1.87043,1.90629,1.12049,0.00034655,0.00034655,0.00034655
33,10732.2,1.83655,1.89244,1.12517,0.59808,0.2442,0.25205,0.15252,1.87331,1.91964,1.12398,0.0003416,0.0003416,0.0003416
34,11049.7,1.82364,1.80154,1.11601,0.58022,0.23834,0.2461,0.14756,1.8787,1.92399,1.12317,0.00033665,0.00033665,0.00033665
35,11378.5,1.85982,1.83317,1.10877,0.55989,0.25527,0.25993,0.15871,1.85111,1.91521,1.11398,0.0003317,0.0003317,0.0003317
36,11700.1,1.80706,1.77806,1.10366,0.53016,0.2445,0.26148,0.16009,1.83995,1.84728,1.10679,0.00032675,0.00032675,0.00032675
37,12024.6,1.81056,1.7551,1.10692,0.5327,0.25489,0.26682,0.16353,1.83518,1.86421,1.12304,0.0003218,0.0003218,0.0003218
38,12351.3,1.81557,1.78948,1.0944,0.45758,0.25777,0.25767,0.15481,1.86245,1.95067,1.117,0.00031685,0.00031685,0.00031685
39,12674.4,1.8417,1.78047,1.10879,0.56326,0.2609,0.27618,0.17038,1.83636,1.84205,1.1178,0.0003119,0.0003119,0.0003119
40,13001.4,1.80039,1.72686,1.09736,0.59146,0.26319,0.27428,0.16909,1.82951,1.8345,1.11309,0.00030695,0.00030695,0.00030695
41,13321.3,1.80281,1.79384,1.1009,0.52208,0.26942,0.28652,0.17756,1.81703,1.78702,1.10616,0.000302,0.000302,0.000302
