epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.748,3.58905,6.0326,2.1892,0.00513,0.038,0.00732,0.00201,3.39664,4.20574,1.93057,0.000166548,0.000166548,0.000166548
2,865.669,3.07383,4.8554,1.68827,0.01204,0.06689,0.0298,0.01177,2.96869,3.66976,1.6231,0.000329916,0.000329916,0.000329916
3,1215.34,2.92818,4.46752,1.58201,0.52326,0.02856,0.03512,0.01532,2.8792,3.51042,1.59271,0.000489984,0.000489984,0.000489984
4,1563.95,2.78881,4.2477,1.50486,0.20416,0.05188,0.04976,0.02516,2.71241,3.33285,1.48075,0.00048515,0.00048515,0.00048515
5,1915.11,2.67792,3.93979,1.443,0.29498,0.05841,0.09715,0.05872,2.62064,3.20314,1.42277,0.0004802,0.0004802,0.0004802
6,2263.37,2.57298,3.64311,1.37251,0.36652,0.07857,0.09518,0.04975,2.50537,3.04171,1.35239,0.00047525,0.00047525,0.00047525
7,2619.13,2.49051,3.44204,1.34961,0.43337,0.08704,0.09346,0.05206,2.43083,2.94241,1.32249,0.0004703,0.0004703,0.0004703
8,2973.16,2.44618,3.23567,1.32922,0.43999,0.09769,0.09945,0.05871,2.37701,2.87273,1.29915,0.00046535,0.00046535,0.00046535
9,3329.42,2.42261,3.19978,1.30103,0.46006,0.10298,0.10513,0.06101,2.38609,2.85569,1.26698,0.0004604,0.0004604,0.0004604
10,3683.68,2.42143,3.19313,1.28458,0.52294,0.10799,0.11441,0.0641,2.34646,2.756,1.27022,0.00045545,0.00045545,0.00045545
11,4037.57,2.34463,2.95011,1.26639,0.56789,0.11329,0.11917,0.06816,2.35401,2.72331,1.26329,0.0004505,0.0004505,0.0004505
12,4389.96,2.34569,2.88177,1.26753,0.62761,0.11453,0.12556,0.07133,2.33706,2.67461,1.254,0.00044555,0.00044555,0.00044555
13,4747.18,2.34446,2.88701,1.26391,0.58123,0.11953,0.12568,0.07183,2.29892,2.64013,1.2355,0.0004406,0.0004406,0.0004406
14,5101.95,2.2779,2.76039,1.24034,0.6098,0.12335,0.13893,0.08008,2.26782,2.58979,1.22603,0.00043565,0.00043565,0.00043565
15,5453.81,2.28637,2.7379,1.24194,0.67074,0.1287,0.14852,0.08487,2.23679,2.52352,1.22144,0.0004307,0.0004307,0.0004307
16,5800.04,2.25814,2.6822,1.2293,0.62986,0.12717,0.14114,0.08137,2.26432,2.70339,1.21817,0.00042575,0.00042575,0.00042575
17,6149.35,2.25764,2.58962,1.22782,0.67386,0.13032,0.15047,0.08719,2.24192,2.48368,1.21024,0.0004208,0.0004208,0.0004208
18,6490.86,2.22814,2.55152,1.2242,0.57127,0.16532,0.15744,0.08891,2.23019,2.4909,1.20813,0.00041585,0.00041585,0.00041585
19,6845.8,2.24253,2.56926,1.21666,0.51995,0.16471,0.16077,0.09079,2.2105,2.45276,1.19769,0.0004109,0.0004109,0.0004109
20,7193.87,2.22852,2.54735,1.19733,0.57365,0.1665,0.16489,0.09377,2.20618,2.47117,1.19785,0.00040595,0.00040595,0.00040595
21,7545.02,2.18692,2.47747,1.21248,0.57379,0.17323,0.16697,0.09419,2.20096,2.51991,1.18914,0.000401,0.000401,0.000401
22,7895.18,2.18811,2.44347,1.19969,0.53748,0.17649,0.16795,0.09464,2.21438,2.39498,1.18973,0.00039605,0.00039605,0.00039605
23,8251.13,2.17633,2.41547,1.19602,0.57638,0.1762,0.17873,0.10042,2.20448,2.4297,1.19302,0.0003911,0.0003911,0.0003911
24,8603.16,2.15758,2.35564,1.18625,0.56406,0.18262,0.17662,0.10024,2.1681,2.32111,1.19027,0.00038615,0.00038615,0.00038615
25,8945.27,2.19732,2.41655,1.1903,0.59606,0.17817,0.18852,0.10739,2.17498,2.38206,1.17606,0.0003812,0.0003812,0.0003812
26,9294.86,2.17662,2.38104,1.18614,0.5548,0.19091,0.18376,0.10285,2.18709,2.39991,1.17793,0.00037625,0.00037625,0.00037625
27,9651.5,2.14127,2.26657,1.17303,0.55752,0.19775,0.2025,0.11292,2.15405,2.32815,1.17983,0.0003713,0.0003713,0.0003713
28,9998.96,2.17572,2.31889,1.17973,0.59892,0.18443,0.19364,0.11204,2.14702,2.32043,1.17005,0.00036635,0.00036635,0.00036635
29,10353.8,2.13384,2.3137,1.17433,0.58527,0.19682,0.20491,0.11813,2.13429,2.30247,1.16042,0.0003614,0.0003614,0.0003614
30,10706.5,2.14831,2.27612,1.16953,0.62596,0.1901,0.1954,0.11119,2.14838,2.29252,1.17076,0.00035645,0.00035645,0.00035645
31,11061.3,2.16457,2.24086,1.16995,0.58686,0.19531,0.19851,0.11234,2.14817,2.28975,1.16895,0.0003515,0.0003515,0.0003515
32,11414.9,2.13496,2.22577,1.16552,0.59764,0.19468,0.20874,0.11878,2.12985,2.228,1.15882,0.00034655,0.00034655,0.00034655
33,11764.7,2.10297,2.24471,1.17048,0.58876,0.20709,0.21044,0.12152,2.10118,2.20096,1.15961,0.0003416,0.0003416,0.0003416
34,12114.2,2.0887,2.15166,1.16504,0.59812,0.20228,0.21042,0.1198,2.11802,2.22408,1.15973,0.00033665,0.00033665,0.00033665
35,12473.7,2.13066,2.19894,1.15913,0.56046,0.20728,0.20973,0.11878,2.11463,2.25222,1.15541,0.0003317,0.0003317,0.0003317
36,12823.1,2.05432,2.1185,1.14904,0.63557,0.19551,0.21677,0.12593,2.09636,2.16645,1.15822,0.00032675,0.00032675,0.00032675
37,13178.2,2.07033,2.09372,1.15499,0.59538,0.1986,0.21318,0.12335,2.10862,2.19268,1.16589,0.0003218,0.0003218,0.0003218
38,13532.8,2.0949,2.1781,1.14899,0.55923,0.20495,0.22215,0.1283,2.11392,2.26674,1.16201,0.00031685,0.00031685,0.00031685
39,13877.4,2.10163,2.13418,1.16026,0.51315,0.21384,0.22157,0.13057,2.07064,2.14763,1.14733,0.0003119,0.0003119,0.0003119
40,14226.3,2.05793,2.0747,1.1417,0.6208,0.20683,0.2209,0.12904,2.06737,2.10876,1.14925,0.00030695,0.00030695,0.00030695
41,14571.8,2.05754,2.12158,1.14465,0.62059,0.20221,0.22752,0.13362,2.06813,2.11182,1.15202,0.000302,0.000302,0.000302
42,14931.5,2.07849,2.09782,1.15603,0.50395,0.21292,0.22344,0.13052,2.09787,2.12991,1.14571,0.00029705,0.00029705,0.00029705
43,15285.7,2.04285,2.03877,1.14773,0.56988,0.20727,0.21931,0.12767,2.07198,2.12807,1.14844,0.0002921,0.0002921,0.0002921
44,15634.4,2.07318,2.07903,1.15121,0.59318,0.20821,0.22577,0.13139,2.07802,2.09906,1.1554,0.00028715,0.00028715,0.00028715
45,15989.1,2.04876,2.01069,1.13844,0.53474,0.21793,0.23129,0.13404,2.06376,2.11,1.14761,0.0002822,0.0002822,0.0002822
46,16337.2,2.00561,1.99144,1.13742,0.54665,0.22647,0.23499,0.13621,2.06868,2.06526,1.14587,0.00027725,0.00027725,0.00027725
47,16689.9,2.05891,2.00532,1.13476,0.61305,0.2155,0.23386,0.1367,2.06727,2.08209,1.14167,0.0002723,0.0002723,0.0002723
48,17041.9,2.03874,1.99483,1.1434,0.55668,0.22457,0.2362,0.13718,2.05783,2.12634,1.14349,0.00026735,0.00026735,0.00026735
49,17400.4,2.02295,1.93573,1.12575,0.5299,0.22708,0.23433,0.1381,2.06041,2.0564,1.14461,0.0002624,0.0002624,0.0002624
50,17743.3,2.0306,2.0093,1.13517,0.5307,0.23153,0.24394,0.14259,2.03662,2.01581,1.13779,0.00025745,0.00025745,0.00025745
51,18088.8,2.02448,1.96672,1.12806,0.55237,0.22128,0.23168,0.13717,2.0468,2.04246,1.13933,0.0002525,0.0002525,0.0002525
52,18435.5,2.00863,1.93142,1.12283,0.53846,0.22662,0.2395,0.13893,2.04428,2.02145,1.1377,0.00024755,0.00024755,0.00024755
53,18785.6,2.00978,1.93601,1.12265,0.55257,0.22618,0.24152,0.14243,2.03562,2.07264,1.13561,0.0002426,0.0002426,0.0002426
54,19137.9,1.9922,1.91925,1.11294,0.54209,0.22723,0.2429,0.14502,2.0234,2.0415,1.12921,0.00023765,0.00023765,0.00023765
