epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.404,3.25395,4.87726,1.93257,0.74828,0.03893,0.03926,0.02082,2.85195,3.49487,1.55189,0.00016643,0.00016643,0.00016643
2,430.807,2.67136,3.4503,1.42266,0.60425,0.07446,0.06864,0.04019,2.50542,2.92681,1.37224,0.000332186,0.000332186,0.000332186
3,580.468,2.4688,3.03574,1.35092,0.58047,0.09287,0.09165,0.04852,2.40834,2.63001,1.32746,0.00049703,0.00049703,0.00049703
4,729.199,2.38749,2.85871,1.31396,0.51195,0.12787,0.12899,0.07276,2.28325,2.65265,1.30941,0.000495898,0.000495898,0.000495898
5,881,2.31007,2.59403,1.27743,0.50984,0.14462,0.14699,0.07741,2.23674,2.44935,1.26123,0.00049453,0.00049453,0.00049453
6,1028.69,2.23312,2.42368,1.25843,0.54486,0.13775,0.15314,0.08361,2.2093,2.29337,1.23282,0.000493163,0.000493163,0.000493163
7,1175.4,2.20578,2.34442,1.24372,0.5096,0.16345,0.17424,0.09722,2.15913,2.27622,1.21508,0.000491796,0.000491796,0.000491796
8,1321.94,2.21233,2.2745,1.21125,0.58517,0.17796,0.18629,0.10511,2.10375,2.08496,1.19783,0.000490428,0.000490428,0.000490428
9,1472.71,2.151,2.18909,1.20332,0.47192,0.19089,0.18436,0.10415,2.10755,2.14581,1.18253,0.000489061,0.000489061,0.000489061
10,1621.17,2.14287,2.09738,1.19482,0.51934,0.20896,0.21678,0.12165,2.0786,1.96207,1.18621,0.000487693,0.000487693,0.000487693
11,1771.23,2.11402,2.05555,1.18246,0.44766,0.20855,0.21185,0.11741,2.05519,2.07589,1.20032,0.000486326,0.000486326,0.000486326
12,1918.87,2.06278,1.98213,1.18057,0.58414,0.204,0.20935,0.11309,2.05679,1.96487,1.17492,0.000484959,0.000484959,0.000484959
13,2069.73,2.1079,2.0131,1.17138,0.56855,0.22469,0.21553,0.12061,2.03852,1.93126,1.16121,0.000483591,0.000483591,0.000483591
14,2215.42,2.04228,1.89316,1.17658,0.47431,0.23405,0.23003,0.13198,2.00014,1.87145,1.14721,0.000482224,0.000482224,0.000482224
15,2362.79,2.00981,1.81072,1.14179,0.66141,0.24041,0.24824,0.1417,1.96092,1.84226,1.14512,0.000480856,0.000480856,0.000480856
16,2508.38,1.98349,1.77843,1.1412,0.66152,0.2305,0.24934,0.13824,2.00283,1.82974,1.14682,0.000479489,0.000479489,0.000479489
17,2659.62,2.00961,1.73101,1.12786,0.61368,0.25417,0.25777,0.1485,1.95008,1.88895,1.12246,0.000478122,0.000478122,0.000478122
18,2806.13,1.9786,1.7294,1.13412,0.64536,0.25475,0.26548,0.14418,1.95726,1.78607,1.12186,0.000476754,0.000476754,0.000476754
