epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.366,3.19297,3.06496,0.81908,0.57123,0.39385,0.36525,0.10212,2.95023,1.51916,0.78373,0.00199575,0.00199575,0.0820382
2,754.568,3.11735,1.63698,0.78185,0.56573,0.3949,0.36438,0.1093,2.99929,1.45009,0.78567,0.00399478,0.00399478,0.0640372
3,1118.43,3.15179,1.61574,0.78887,0.60652,0.39235,0.39614,0.11905,2.94883,1.49754,0.78912,0.0059899,0.0059899,0.0460324
4,1481.9,3.14354,1.59023,0.78556,0.64933,0.41341,0.40322,0.11809,3.00871,1.46172,0.78533,0.00797819,0.00797819,0.0280207
5,1845.33,3.13483,1.56776,0.78851,0.59244,0.37221,0.36361,0.10536,2.97986,1.75068,0.78563,0.00995674,0.00995674,0.0099992
6,2209.84,3.12175,1.52792,0.79199,0.64792,0.42144,0.44089,0.13183,2.95807,1.50075,0.80019,0.00993906,0.00993906,0.00993906
7,2576.01,3.06119,1.40078,0.78514,0.71524,0.50733,0.51296,0.1678,2.82847,1.23806,0.77745,0.00991232,0.00991232,0.00991232
8,2941.39,2.98954,1.33766,0.7802,0.72508,0.53282,0.55053,0.18277,2.71972,1.14466,0.77623,0.00988079,0.00988079,0.00988079
9,3307.39,2.89777,1.27532,0.77487,0.77714,0.51869,0.55063,0.18042,2.77836,1.17209,0.77892,0.00984449,0.00984449,0.00984449
10,3669.48,2.88289,1.239,0.77276,0.79088,0.548,0.5804,0.19817,2.65219,1.11472,0.77034,0.00980345,0.00980345,0.00980345
11,4030.77,2.83745,1.19595,0.77518,0.78682,0.54888,0.58545,0.20271,2.66676,1.07608,0.766,0.00975773,0.00975773,0.00975773
12,4394.66,2.82233,1.15554,0.77303,0.77331,0.56285,0.58746,0.20722,2.63242,1.05224,0.76236,0.00970736,0.00970736,0.00970736
13,4764.35,2.82936,1.18299,0.75731,0.79394,0.57176,0.6055,0.21675,2.62407,1.04176,0.76311,0.00965239,0.00965239,0.00965239
14,5127.75,2.78211,1.13931,0.75875,0.78617,0.5824,0.61856,0.21913,2.59877,1.0348,0.76545,0.00959289,0.00959289,0.00959289
15,5491.58,2.74651,1.12463,0.76041,0.78289,0.58345,0.62338,0.2244,2.58405,1.04254,0.76631,0.00952889,0.00952889,0.00952889
16,5858.35,2.74214,1.12163,0.76,0.78483,0.57682,0.60621,0.22159,2.57412,1.03074,0.75817,0.00946048,0.00946048,0.00946048
17,6226.79,2.72319,1.11018,0.75782,0.78303,0.55691,0.59271,0.21921,2.60777,1.02661,0.77129,0.00938772,0.00938772,0.00938772
18,6591.79,2.71092,1.09299,0.75679,0.82114,0.5831,0.63153,0.22788,2.60736,0.99336,0.75323,0.00931067,0.00931067,0.00931067
19,6961.04,2.6786,1.08141,0.75712,0.80141,0.61767,0.65937,0.24429,2.49929,0.97107,0.75675,0.00922942,0.00922942,0.00922942
20,7326.2,2.6648,1.07509,0.75166,0.81441,0.5991,0.64648,0.24251,2.52057,0.98196,0.75396,0.00914405,0.00914405,0.00914405
21,7697.56,2.64728,1.06864,0.75472,0.81248,0.59811,0.62969,0.23879,2.51309,0.96398,0.75001,0.00905463,0.00905463,0.00905463
22,8065.22,2.64078,1.05649,0.74765,0.83363,0.6176,0.66494,0.26017,2.43602,0.95514,0.75353,0.00896127,0.00896127,0.00896127
23,8430,2.62917,1.03764,0.74679,0.81411,0.61732,0.66305,0.25529,2.46669,0.94765,0.75446,0.00886404,0.00886404,0.00886404
24,8796.73,2.60889,1.03609,0.74398,0.82071,0.62176,0.6632,0.26202,2.43529,0.94803,0.74919,0.00876305,0.00876305,0.00876305
