epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.99,3.22542,3.94739,0.8267,0.54021,0.34952,0.31604,0.09029,3.08269,1.61123,0.78731,0.00199575,0.00199575,0.0820382
2,750.996,3.14824,1.68128,0.78404,0.55619,0.35091,0.33364,0.09493,3.06312,1.58684,0.78511,0.0039714,0.0039714,0.0640139
3,1113.18,3.15052,1.60922,0.7898,0.62614,0.42423,0.40949,0.1311,2.88036,1.44867,0.78404,0.00585049,0.00585049,0.045893
4,1477.87,3.14489,1.54516,0.78468,0.72272,0.47835,0.48598,0.15163,2.87786,1.39371,0.77632,0.00756437,0.00756437,0.0276068
5,1840.25,3.12387,1.51522,0.78737,0.59966,0.41515,0.39563,0.1161,2.87683,1.66257,0.78145,0.00905079,0.00905079,0.00909325
6,2203.33,3.08422,1.49608,0.78288,0.63552,0.43122,0.43379,0.13216,2.89821,1.37744,0.77881,0.00855018,0.00855018,0.00855018
7,2566.95,3.0145,1.38046,0.77137,0.72891,0.5126,0.5227,0.1643,2.81817,1.34324,0.77133,0.00795954,0.00795954,0.00795954
8,2932.41,2.9368,1.32047,0.76945,0.73585,0.52689,0.53989,0.17047,2.80596,1.21618,0.77252,0.00729725,0.00729725,0.00729725
9,3301.98,2.83046,1.23739,0.76193,0.77036,0.54958,0.5859,0.19675,2.66956,1.11904,0.75423,0.00657963,0.00657963,0.00657963
10,3668.11,2.80467,1.20602,0.75861,0.768,0.5421,0.57412,0.1953,2.67061,1.10528,0.76051,0.00582435,0.00582435,0.00582435
11,4030.41,2.72055,1.15483,0.75553,0.76958,0.56092,0.59779,0.20051,2.63056,1.11558,0.75318,0.00505,0.00505,0.00505
12,4393.16,2.69111,1.12248,0.75354,0.7776,0.56523,0.61346,0.2258,2.54248,1.05332,0.75248,0.00427565,0.00427565,0.00427565
13,4756.88,2.65411,1.08865,0.73933,0.79157,0.59937,0.63973,0.23172,2.52001,0.99864,0.74619,0.00352037,0.00352037,0.00352037
14,5119.32,2.60004,1.04914,0.73822,0.77613,0.60475,0.65363,0.24256,2.48816,1.00251,0.74691,0.00280275,0.00280275,0.00280275
15,5474.66,2.53496,1.01532,0.73476,0.81077,0.61337,0.66328,0.25093,2.43505,0.95387,0.74531,0.00214046,0.00214046,0.00214046
16,5832.32,2.52276,1.00116,0.73411,0.81672,0.62884,0.67685,0.25664,2.41405,0.94732,0.74261,0.00154982,0.00154982,0.00154982
17,6190.91,2.478,0.97793,0.73326,0.81419,0.62605,0.67087,0.2635,2.36395,0.91746,0.74039,0.00104537,0.00104537,0.00104537
18,6550.55,2.46519,0.96026,0.73146,0.8253,0.62843,0.68108,0.26858,2.35639,0.89777,0.73876,0.000639518,0.000639518,0.000639518
19,6907.82,2.43031,0.94701,0.7327,0.82486,0.63311,0.68636,0.27287,2.33514,0.90155,0.73818,0.00034227,0.00034227,0.00034227
20,7270.21,2.4073,0.93801,0.72646,0.84148,0.63943,0.69313,0.27996,2.31361,0.89413,0.73548,0.000160943,0.000160943,0.000160943
