epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.231,3.23147,3.86809,0.83019,0.55369,0.37252,0.33644,0.10038,2.95076,1.61536,0.78467,0.00199575,0.00199575,0.0820382
2,761.691,3.16493,1.69245,0.78969,0.55923,0.34998,0.31984,0.09896,3.07584,1.58136,0.79319,0.00399478,0.00399478,0.0640372
3,1129.03,3.16817,1.64325,0.79221,0.60298,0.39351,0.3703,0.10402,3.11005,1.41576,0.7844,0.0059899,0.0059899,0.0460324
4,1491.85,3.16212,1.59789,0.78872,0.65862,0.41027,0.40995,0.12524,2.9634,1.64955,0.79223,0.00797819,0.00797819,0.0280207
5,1856.5,3.15425,1.59175,0.79234,0.62056,0.39036,0.38749,0.11948,2.93947,1.6734,0.79056,0.00995674,0.00995674,0.0099992
6,2219.16,3.12767,1.59027,0.79269,0.59641,0.39421,0.38359,0.11351,2.99217,1.41848,0.81413,0.00993906,0.00993906,0.00993906
7,2582.85,3.0612,1.41141,0.78059,0.6544,0.47521,0.46385,0.14508,2.87123,1.52908,0.79287,0.00991232,0.00991232,0.00991232
8,2947.48,3.00397,1.36262,0.78206,0.72966,0.51456,0.53462,0.17391,2.75812,1.1806,0.78124,0.00988079,0.00988079,0.00988079
9,3316.81,2.91981,1.26555,0.77629,0.74442,0.53247,0.55336,0.18148,2.763,1.13611,0.76727,0.00984449,0.00984449,0.00984449
10,3681.09,2.90777,1.22664,0.77418,0.76962,0.55171,0.57644,0.19185,2.66497,1.12789,0.78272,0.00980345,0.00980345,0.00980345
11,4045.84,2.84807,1.19453,0.77478,0.75555,0.54225,0.5613,0.19217,2.69102,1.15803,0.76942,0.00975773,0.00975773,0.00975773
12,4417.57,2.84024,1.19406,0.77294,0.73796,0.53492,0.55994,0.18909,2.69992,1.13284,0.76999,0.00970736,0.00970736,0.00970736
13,4788.6,2.83639,1.15728,0.75942,0.77967,0.55971,0.5817,0.19517,2.67645,1.05324,0.77433,0.00965239,0.00965239,0.00965239
14,5157.47,2.79288,1.14477,0.75986,0.7987,0.5583,0.59763,0.21609,2.62225,1.02451,0.76659,0.00959289,0.00959289,0.00959289
15,5520.23,2.76575,1.139,0.76058,0.78401,0.56778,0.60335,0.21201,2.60555,1.03739,0.7606,0.00952889,0.00952889,0.00952889
16,5884.74,2.76941,1.13296,0.76087,0.77543,0.56041,0.59122,0.20785,2.6348,1.05648,0.76799,0.00946048,0.00946048,0.00946048
