epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6784.31,3.22564,3.78937,0.81807,0.49028,0.32996,0.28175,0.07827,3.10659,1.67091,0.79176,0.00199576,0.00199576,0.0820381
2,7649.87,3.16,1.69212,0.78229,0.62576,0.37186,0.3702,0.11687,2.96674,1.70878,0.78339,0.00399561,0.00399561,0.064038
3,8522.61,3.1767,1.6331,0.7847,0.61708,0.44693,0.41799,0.12367,2.89993,1.49869,0.77943,0.00599483,0.00599483,0.0460372
4,9386.34,3.16029,1.60443,0.7895,0.60439,0.35615,0.34118,0.09491,3.11568,1.66078,0.80598,0.00799295,0.00799295,0.0280353
5,10260.1,3.16862,1.62752,0.79537,0.64792,0.40328,0.41054,0.1303,2.87679,1.52186,0.787,0.00998951,0.00998951,0.0100319
6,11119.3,3.15636,1.5815,0.79361,0.63967,0.45001,0.43312,0.1292,2.92634,1.47423,0.78729,0.00999023,0.00999023,0.00999023
7,11980.6,3.04588,1.44051,0.78289,0.68023,0.45915,0.4712,0.15101,2.85183,1.35849,0.80041,0.00998594,0.00998594,0.00998594
8,12856.4,2.97495,1.37074,0.77832,0.69973,0.48953,0.50202,0.15251,2.8568,1.29023,0.78221,0.00998086,0.00998086,0.00998086
9,13734.7,2.96009,1.33182,0.77141,0.7045,0.48281,0.50038,0.16711,2.83842,1.26919,0.77394,0.00997501,0.00997501,0.00997501
10,14593.9,2.92342,1.29043,0.77554,0.74585,0.5405,0.5599,0.18553,2.67651,1.16267,0.7719,0.00996838,0.00996838,0.00996838
11,15460.5,2.87681,1.22921,0.76413,0.74969,0.54574,0.57258,0.19251,2.6737,1.1435,0.76925,0.00996097,0.00996097,0.00996097
12,16323.6,2.86663,1.21376,0.76394,0.76651,0.52793,0.55873,0.19804,2.63958,1.12183,0.76432,0.00995278,0.00995278,0.00995278
13,17176.2,2.82182,1.17655,0.76295,0.76616,0.56599,0.59486,0.21622,2.62293,1.06244,0.7658,0.00994383,0.00994383,0.00994383
14,18043.8,2.83865,1.19634,0.76318,0.79359,0.57018,0.58085,0.19172,2.67936,1.08109,0.76877,0.0099341,0.0099341,0.0099341
15,18906.4,2.80971,1.17746,0.76818,0.76898,0.57612,0.59219,0.20908,2.60634,1.08856,0.76522,0.00992359,0.00992359,0.00992359
16,19767.5,2.77004,1.15233,0.75949,0.78044,0.57891,0.6053,0.21092,2.61971,1.04491,0.76276,0.00991232,0.00991232,0.00991232
17,20621.2,2.76849,1.14131,0.75893,0.79487,0.57908,0.61244,0.22012,2.58011,1.04369,0.75783,0.00990028,0.00990028,0.00990028
18,21470,2.75152,1.12677,0.75408,0.78808,0.57682,0.60261,0.21231,2.58844,1.07544,0.756,0.00988748,0.00988748,0.00988748
19,22324.4,2.74187,1.118,0.75797,0.79133,0.5932,0.62333,0.22781,2.56711,1.01572,0.75547,0.00987391,0.00987391,0.00987391
20,23172.7,2.72092,1.11363,0.76197,0.78577,0.59916,0.63219,0.23465,2.50585,1.01873,0.75298,0.00985958,0.00985958,0.00985958
