epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.414,1.621,2.32999,1.14077,0.38123,0.25448,0.21044,0.1201,1.48248,1.4997,1.09023,0.00199506,0.00199506,0.0820444
2,231.536,1.53707,1.59308,1.07434,0.34453,0.29812,0.26656,0.15599,1.47578,1.38667,1.05916,0.00399492,0.00399492,0.0640443
3,330.341,1.53528,1.45246,1.05921,0.41446,0.32595,0.31789,0.18875,1.44911,1.28135,1.05111,0.00599419,0.00599419,0.0460436
4,427.721,1.53655,1.40003,1.05534,0.36723,0.32134,0.28789,0.1711,1.4911,1.36926,1.0649,0.00799244,0.00799244,0.0280418
5,523.817,1.54352,1.37489,1.05864,0.39152,0.33018,0.30379,0.17794,1.49863,1.31743,1.06974,0.00998924,0.00998924,0.0100386
6,620.377,1.52909,1.33834,1.05299,0.42372,0.33572,0.32047,0.18843,1.45098,1.2871,1.04671,0.0099909,0.0099909,0.0099909
7,716.655,1.51309,1.30292,1.04273,0.41558,0.35467,0.3449,0.20598,1.43423,1.28573,1.04837,0.0099869,0.0099869,0.0099869
8,812.376,1.49128,1.26445,1.03851,0.43589,0.36658,0.35692,0.21165,1.4309,1.20907,1.04507,0.00998217,0.00998217,0.00998217
9,908.752,1.47546,1.23413,1.02871,0.44659,0.37631,0.36853,0.22223,1.41247,1.17271,1.03651,0.00997671,0.00997671,0.00997671
10,1004.48,1.47035,1.21092,1.02645,0.44611,0.38803,0.37785,0.22556,1.39989,1.15928,1.0294,0.00997053,0.00997053,0.00997053
11,1100.38,1.44244,1.17334,1.01866,0.4889,0.383,0.38963,0.2362,1.38861,1.14288,1.02449,0.00996363,0.00996363,0.00996363
12,1196.63,1.44164,1.15998,1.01584,0.4747,0.39525,0.38728,0.23567,1.38834,1.13494,1.0264,0.009956,0.009956,0.009956
13,1293.04,1.44765,1.15081,1.01542,0.47017,0.39461,0.39294,0.23518,1.38423,1.13049,1.02019,0.00994766,0.00994766,0.00994766
14,1388.82,1.42652,1.13877,1.01011,0.49561,0.394,0.40526,0.24521,1.3746,1.11249,1.01513,0.00993859,0.00993859,0.00993859
15,1485.47,1.4277,1.12267,1.00877,0.49144,0.39937,0.40286,0.24196,1.37747,1.10694,1.02202,0.0099288,0.0099288,0.0099288
16,1581.06,1.40977,1.11204,1.006,0.49497,0.39386,0.3995,0.24318,1.36972,1.11022,1.01014,0.00991829,0.00991829,0.00991829
17,1676.47,1.4204,1.11082,1.00812,0.49401,0.39822,0.40563,0.24697,1.37477,1.10152,1.0121,0.00990707,0.00990707,0.00990707
18,1773.07,1.40816,1.09277,1.00093,0.49065,0.40958,0.4106,0.24963,1.35931,1.07755,1.00578,0.00989513,0.00989513,0.00989513
19,1868.32,1.40121,1.08122,1.00083,0.50501,0.41385,0.42207,0.25587,1.36808,1.06842,1.01284,0.00988248,0.00988248,0.00988248
20,1964.18,1.39677,1.07561,0.99663,0.51048,0.4189,0.43026,0.26083,1.36006,1.05821,1.00825,0.00986912,0.00986912,0.00986912
21,2060.34,1.3999,1.07271,1.00006,0.50377,0.41769,0.42561,0.26072,1.36088,1.06665,1.00556,0.00985505,0.00985505,0.00985505
22,2156.37,1.40123,1.07357,0.99893,0.51409,0.41487,0.42704,0.25828,1.36021,1.06299,1.00382,0.00984028,0.00984028,0.00984028
23,2253.13,1.38926,1.05889,0.99401,0.52055,0.42307,0.4309,0.26351,1.3399,1.04678,1.00156,0.0098248,0.0098248,0.0098248
24,2348.86,1.3768,1.0514,0.99265,0.50155,0.42735,0.42887,0.26034,1.34868,1.05591,1.00615,0.00980861,0.00980861,0.00980861
25,2444.62,1.37965,1.04696,0.99102,0.514,0.4174,0.42753,0.26087,1.3512,1.06118,1.01005,0.00979173,0.00979173,0.00979173
26,2540.17,1.37154,1.04055,0.98996,0.50051,0.42669,0.43208,0.26469,1.34189,1.05135,1.00281,0.00977415,0.00977415,0.00977415
27,2636.03,1.37772,1.03746,0.98869,0.51979,0.42722,0.43822,0.26961,1.34029,1.03676,0.99797,0.00975587,0.00975587,0.00975587
28,2732.07,1.3767,1.03922,0.98935,0.52595,0.42786,0.44433,0.27118,1.34499,1.03284,1.00114,0.0097369,0.0097369,0.0097369
29,2827.75,1.37374,1.02919,0.98811,0.53513,0.42562,0.44629,0.27391,1.33608,1.02666,1.00188,0.00971724,0.00971724,0.00971724
30,2923.97,1.37765,1.0301,0.98681,0.52143,0.4334,0.44497,0.27216,1.33858,1.02935,0.99683,0.0096969,0.0096969,0.0096969
31,3020.34,1.3663,1.01977,0.98431,0.52651,0.43394,0.44543,0.27396,1.32761,1.02449,0.99718,0.00967587,0.00967587,0.00967587
32,3116.64,1.36557,1.01594,0.983,0.54357,0.4265,0.44902,0.2765,1.33058,1.02446,0.99475,0.00965416,0.00965416,0.00965416
