epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.895,3.19688,3.35052,0.80957,0.56048,0.44937,0.36838,0.11207,2.83371,1.76326,0.77578,0.00199576,0.00199576,0.0820381
2,500.933,3.14758,1.67028,0.78299,0.48745,0.32786,0.2571,0.07095,3.2241,1.66426,0.80838,0.00399561,0.00399561,0.064038
3,633.253,3.14757,1.58554,0.78714,0.66155,0.44239,0.44455,0.13264,2.91108,1.39349,0.78201,0.00599483,0.00599483,0.0460372
4,764.158,3.17942,1.57591,0.78095,0.56053,0.39595,0.34574,0.09953,3.04555,1.74448,0.77904,0.00799295,0.00799295,0.0280353
5,893.813,3.17007,1.57993,0.79169,0.49105,0.34986,0.29726,0.08897,3.08612,2.60594,0.79928,0.00998951,0.00998951,0.0100319
6,1023.34,3.14999,1.54955,0.78799,0.6833,0.43316,0.42902,0.12491,2.97583,1.59223,0.78312,0.00999023,0.00999023,0.00999023
7,1151.66,3.03696,1.39117,0.78871,0.70403,0.48743,0.49693,0.15689,2.86888,1.28807,0.78124,0.00998594,0.00998594,0.00998594
8,1280.66,2.98264,1.34656,0.78704,0.72486,0.4857,0.50434,0.16068,2.82686,1.1931,0.77772,0.00998086,0.00998086,0.00998086
9,1413.07,2.92712,1.28825,0.78365,0.7326,0.46858,0.49019,0.1616,2.79821,1.37045,0.77819,0.00997501,0.00997501,0.00997501
10,1542.31,2.8869,1.2317,0.76996,0.74409,0.52095,0.54651,0.18571,2.7183,1.15985,0.78082,0.00996838,0.00996838,0.00996838
11,1672.77,2.88123,1.24982,0.76574,0.77457,0.52067,0.55299,0.19138,2.71437,1.12501,0.77502,0.00996097,0.00996097,0.00996097
12,1802.93,2.81954,1.18877,0.77104,0.79312,0.55447,0.58842,0.20716,2.65874,1.04988,0.76988,0.00995278,0.00995278,0.00995278
13,1931.73,2.82324,1.17706,0.76141,0.78129,0.53841,0.57163,0.20368,2.66927,1.08384,0.76802,0.00994383,0.00994383,0.00994383
14,2060.58,2.78106,1.14687,0.76519,0.80067,0.57081,0.61635,0.2231,2.59318,1.04168,0.76039,0.0099341,0.0099341,0.0099341
15,2189.3,2.77721,1.14694,0.75904,0.75999,0.58624,0.61387,0.2095,2.64274,1.02769,0.76688,0.00992359,0.00992359,0.00992359
16,2317.48,2.73115,1.12306,0.75158,0.79776,0.59777,0.63421,0.22733,2.56246,1.02466,0.75915,0.00991232,0.00991232,0.00991232
17,2446.12,2.72354,1.1083,0.75238,0.7999,0.59742,0.62756,0.22548,2.58481,1.02858,0.75735,0.00990028,0.00990028,0.00990028
