epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.871,1.65566,2.5012,1.13257,0.29459,0.23297,0.16945,0.09619,1.50997,1.58708,1.1047,0.00199506,0.00199506,0.0820444
2,221.294,1.54775,1.65213,1.07923,0.25905,0.28381,0.22716,0.13132,1.4997,1.52709,1.08496,0.00399495,0.00399495,0.0640443
3,316.877,1.5454,1.50607,1.06888,0.33673,0.31267,0.27236,0.16079,1.46634,1.34421,1.06565,0.00599441,0.00599441,0.0460438
4,412.625,1.54701,1.44336,1.06125,0.34751,0.32093,0.27953,0.16414,1.46245,1.35213,1.05888,0.00799311,0.00799311,0.0280425
5,508.246,1.55109,1.40825,1.05899,0.35834,0.3345,0.29607,0.17275,1.47835,1.35886,1.05768,0.00999072,0.00999072,0.0100401
6,602.348,1.52976,1.36065,1.05011,0.40308,0.34365,0.31773,0.18735,1.45928,1.27457,1.05602,0.00999322,0.00999322,0.00999322
7,696.196,1.51436,1.32195,1.04072,0.40846,0.3486,0.32519,0.19246,1.46017,1.25436,1.05006,0.00999023,0.00999023,0.00999023
8,790.227,1.49353,1.28024,1.03668,0.42893,0.36464,0.34515,0.20236,1.44375,1.21541,1.04824,0.00998671,0.00998671,0.00998671
9,884.364,1.47986,1.25101,1.0293,0.44822,0.36199,0.35774,0.21367,1.41854,1.20243,1.03165,0.00998264,0.00998264,0.00998264
10,978.223,1.4737,1.22751,1.02681,0.45109,0.37476,0.36583,0.2165,1.41622,1.16975,1.03109,0.00997803,0.00997803,0.00997803
11,1071.85,1.4481,1.19139,1.01869,0.46975,0.3853,0.38055,0.22978,1.39625,1.15064,1.02599,0.00997288,0.00997288,0.00997288
12,1165.62,1.4474,1.17879,1.01681,0.47878,0.39483,0.3888,0.23392,1.38348,1.13653,1.02107,0.0099672,0.0099672,0.0099672
13,1259.69,1.45245,1.17089,1.01559,0.45582,0.39056,0.38114,0.23031,1.38702,1.15016,1.0196,0.00996097,0.00996097,0.00996097
14,1353.06,1.43168,1.15659,1.01099,0.46917,0.38728,0.38528,0.2338,1.39057,1.13148,1.01826,0.0099542,0.0099542,0.0099542
15,1446.73,1.43424,1.14193,1.01012,0.46937,0.3871,0.38951,0.23587,1.38605,1.12126,1.02067,0.0099469,0.0099469,0.0099469
