epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.155,3.2341,3.28001,0.81665,0.48566,0.36173,0.29695,0.09105,2.91402,1.77875,0.78449,0.00199576,0.00199576,0.0820381
2,289.819,3.1406,1.6964,0.78642,0.41424,0.42075,0.28781,0.08381,2.99925,1.68086,0.78997,0.00399561,0.00399561,0.064038
3,420.931,3.15405,1.57973,0.78811,0.62778,0.43331,0.41566,0.12315,2.93997,1.46116,0.78041,0.00599483,0.00599483,0.0460372
4,550.719,3.17357,1.55301,0.78007,0.54078,0.40293,0.37809,0.12109,2.9033,1.60177,0.78808,0.00799295,0.00799295,0.0280353
5,682.533,3.16105,1.55235,0.79189,0.61117,0.4155,0.39862,0.11835,2.98909,1.8763,0.79169,0.00998951,0.00998951,0.0100319
6,811.058,3.13295,1.5251,0.78594,0.64346,0.44029,0.43006,0.13613,2.87864,1.37348,0.78386,0.00999023,0.00999023,0.00999023
7,943.248,3.05994,1.41238,0.78719,0.70166,0.44169,0.46752,0.15157,2.83985,1.40965,0.7905,0.00998594,0.00998594,0.00998594
8,1076.2,2.98605,1.34586,0.78716,0.69207,0.48638,0.47489,0.14468,2.85881,1.24767,0.77956,0.00998086,0.00998086,0.00998086
9,1205.31,2.9188,1.2621,0.78078,0.75654,0.49367,0.51214,0.16436,2.831,1.21792,0.78138,0.00997501,0.00997501,0.00997501
10,1337.23,2.88972,1.23124,0.77257,0.75591,0.53701,0.55316,0.1846,2.6988,1.20358,0.7724,0.00996838,0.00996838,0.00996838
11,1468.22,2.86722,1.24029,0.76707,0.78038,0.5426,0.56647,0.18599,2.72646,1.06824,0.7707,0.00996097,0.00996097,0.00996097
12,1598.19,2.8175,1.17014,0.77143,0.79114,0.56145,0.58249,0.20587,2.65581,1.05637,0.76456,0.00995278,0.00995278,0.00995278
13,1729.01,2.82136,1.1515,0.76232,0.7754,0.54818,0.58399,0.21252,2.61981,1.05603,0.77219,0.00994383,0.00994383,0.00994383
14,1857.2,2.77932,1.13021,0.76606,0.79384,0.57677,0.61027,0.22006,2.60082,1.03417,0.75795,0.0099341,0.0099341,0.0099341
15,1986.41,2.77089,1.1066,0.76304,0.78193,0.57215,0.59714,0.21235,2.65065,1.03617,0.76895,0.00992359,0.00992359,0.00992359
16,2118.83,2.74933,1.10954,0.75519,0.79865,0.58415,0.61261,0.22059,2.56123,0.99873,0.76686,0.00991232,0.00991232,0.00991232
17,2246.79,2.73134,1.0884,0.75435,0.81379,0.59208,0.63425,0.23613,2.51119,0.97875,0.75838,0.00990028,0.00990028,0.00990028
18,2378.98,2.69409,1.05443,0.75832,0.80371,0.59472,0.62068,0.23225,2.49896,0.98883,0.76377,0.00988748,0.00988748,0.00988748
19,2508.55,2.72123,1.08223,0.75717,0.79646,0.59161,0.61853,0.22236,2.58916,1.04526,0.7615,0.00987391,0.00987391,0.00987391
20,2637.24,2.69076,1.06594,0.7536,0.80495,0.59707,0.62988,0.23138,2.52917,0.98858,0.75887,0.00985958,0.00985958,0.00985958
21,2765.33,2.67729,1.07494,0.75364,0.79983,0.59433,0.63089,0.23734,2.50585,0.98798,0.75401,0.00984449,0.00984449,0.00984449
22,2894.87,2.67064,1.06582,0.75683,0.81409,0.61348,0.64393,0.24604,2.49603,0.97039,0.75462,0.00982864,0.00982864,0.00982864
23,3027.32,2.63276,1.0509,0.75985,0.82261,0.62081,0.66517,0.2576,2.4482,0.95356,0.75595,0.00981204,0.00981204,0.00981204
24,3157.07,2.65216,1.05865,0.75471,0.80452,0.6236,0.65829,0.25471,2.43065,0.95487,0.75732,0.00979468,0.00979468,0.00979468
25,3289.36,2.63173,1.04091,0.74677,0.82322,0.62465,0.66786,0.26214,2.4089,0.9525,0.74659,0.00977658,0.00977658,0.00977658
26,3418.77,2.63027,1.04045,0.74371,0.82973,0.62919,0.66817,0.26113,2.43953,0.93782,0.75184,0.00975773,0.00975773,0.00975773
27,3548.1,2.62146,1.03419,0.74458,0.81483,0.63128,0.66628,0.25972,2.40561,0.94248,0.74957,0.00973814,0.00973814,0.00973814
28,3680.15,2.59207,1.01296,0.74388,0.83228,0.63094,0.67088,0.2575,2.39359,0.93135,0.74797,0.0097178,0.0097178,0.0097178
29,3811.45,2.56222,1.00982,0.7463,0.82015,0.63443,0.67446,0.26544,2.36274,0.91972,0.74742,0.00969673,0.00969673,0.00969673
30,3941.41,2.58216,1.0085,0.74205,0.82896,0.64176,0.68718,0.27111,2.36468,0.90613,0.74372,0.00967493,0.00967493,0.00967493
31,4072.44,2.57341,1.00403,0.74058,0.82135,0.63687,0.67789,0.26739,2.36763,0.91295,0.74352,0.00965239,0.00965239,0.00965239
32,4201.4,2.55827,1.00797,0.75091,0.83282,0.63487,0.67474,0.26598,2.39595,0.91298,0.74604,0.00962913,0.00962913,0.00962913
33,4331.33,2.55837,1.00264,0.74209,0.82206,0.64848,0.68804,0.27526,2.3533,0.90638,0.74603,0.00960515,0.00960515,0.00960515
34,4462.99,2.5339,0.99498,0.74119,0.83065,0.6491,0.68998,0.28018,2.32021,0.89939,0.74352,0.00958044,0.00958044,0.00958044
35,4594.49,2.52531,0.985,0.73843,0.84331,0.64001,0.68114,0.27486,2.33147,0.88712,0.74811,0.00955502,0.00955502,0.00955502
36,4725.28,2.51694,0.97768,0.74374,0.83963,0.64895,0.68603,0.27498,2.3227,0.88353,0.74156,0.00952889,0.00952889,0.00952889
37,4855.24,2.50083,0.97494,0.74122,0.84337,0.64979,0.69385,0.27795,2.32131,0.88192,0.74077,0.00950206,0.00950206,0.00950206
38,4984.55,2.51225,0.98323,0.73849,0.8294,0.65887,0.6918,0.27859,2.31604,0.89709,0.73806,0.00947452,0.00947452,0.00947452
39,5117.26,2.52707,0.98285,0.73871,0.83982,0.65722,0.69514,0.27912,2.33067,0.87353,0.74504,0.00944628,0.00944628,0.00944628
40,5246.08,2.50687,0.97874,0.73895,0.84356,0.64767,0.69327,0.28354,2.32452,0.87109,0.7402,0.00941734,0.00941734,0.00941734
41,5377.94,2.50199,0.96609,0.73287,0.84824,0.66411,0.70698,0.28743,2.28752,0.87055,0.74426,0.00938772,0.00938772,0.00938772
42,5508.66,2.4948,0.96456,0.7347,0.84518,0.65761,0.69732,0.28434,2.30005,0.8712,0.74239,0.00935741,0.00935741,0.00935741
43,5637.67,2.46359,0.9536,0.73458,0.83481,0.6655,0.70067,0.28444,2.27605,0.85843,0.73833,0.00932642,0.00932642,0.00932642
44,5768.5,2.46978,0.95662,0.73585,0.84839,0.65651,0.69957,0.28998,2.26946,0.85548,0.73901,0.00929476,0.00929476,0.00929476
45,5899.63,2.47498,0.94819,0.73401,0.83305,0.66865,0.70213,0.28674,2.29561,0.86515,0.73881,0.00926242,0.00926242,0.00926242
46,6029.77,2.47451,0.95261,0.73036,0.84418,0.65747,0.70671,0.28863,2.28741,0.85272,0.73969,0.00922942,0.00922942,0.00922942
47,6160.4,2.44981,0.92801,0.7363,0.84476,0.67004,0.70664,0.29287,2.26325,0.84437,0.73856,0.00919576,0.00919576,0.00919576
48,6290.95,2.42127,0.92798,0.73475,0.83825,0.66585,0.70711,0.29396,2.25422,0.84906,0.73716,0.00916145,0.00916145,0.00916145
49,6420.8,2.4241,0.92794,0.73378,0.85694,0.66899,0.71168,0.29663,2.2344,0.84671,0.73613,0.00912649,0.00912649,0.00912649
50,6550.67,2.43176,0.93649,0.73321,0.84983,0.66271,0.70836,0.29732,2.26223,0.84543,0.73628,0.00909088,0.00909088,0.00909088
51,6683.03,2.44202,0.94108,0.73569,0.84248,0.67284,0.71479,0.29611,2.2473,0.84741,0.73383,0.00905463,0.00905463,0.00905463
52,6812.32,2.42369,0.93351,0.73607,0.84763,0.67209,0.71862,0.29833,2.24696,0.8461,0.73509,0.00901776,0.00901776,0.00901776
53,6942.03,2.4345,0.92815,0.7335,0.85412,0.6676,0.71175,0.29681,2.2414,0.8359,0.73755,0.00898025,0.00898025,0.00898025
54,7074.44,2.43694,0.92716,0.73081,0.83433,0.67493,0.71562,0.30051,2.24084,0.83328,0.73714,0.00894213,0.00894213,0.00894213
55,7205.26,2.41229,0.91716,0.7325,0.82268,0.6804,0.71349,0.3041,2.23566,0.83178,0.73611,0.00890339,0.00890339,0.00890339
56,7336.42,2.4243,0.93021,0.73359,0.84269,0.66934,0.7152,0.30372,2.23759,0.83319,0.73522,0.00886404,0.00886404,0.00886404
57,7468.12,2.42023,0.9191,0.72845,0.83852,0.68436,0.72572,0.3047,2.2138,0.82111,0.73491,0.00882409,0.00882409,0.00882409
58,7601.73,2.41374,0.91791,0.73123,0.8441,0.673,0.71841,0.30706,2.21279,0.82378,0.738,0.00878354,0.00878354,0.00878354
59,7733.96,2.40006,0.91568,0.73509,0.852,0.67004,0.71286,0.30627,2.21305,0.81892,0.73574,0.00874241,0.00874241,0.00874241
60,7864.24,2.38518,0.90274,0.73261,0.84783,0.68282,0.72852,0.31213,2.19672,0.81441,0.73451,0.00870069,0.00870069,0.00870069
61,7995.77,2.4207,0.91244,0.72472,0.84945,0.67968,0.72732,0.31331,2.19031,0.80997,0.73216,0.00865839,0.00865839,0.00865839
62,8124.88,2.39415,0.90524,0.72661,0.86085,0.68436,0.7338,0.31509,2.18433,0.81072,0.73576,0.00861553,0.00861553,0.00861553
63,8257.74,2.39048,0.90021,0.73074,0.86067,0.69099,0.7304,0.31413,2.17443,0.80701,0.73291,0.0085721,0.0085721,0.0085721
64,8385.89,2.38273,0.91234,0.73483,0.86266,0.69305,0.73488,0.31502,2.1714,0.80505,0.73221,0.00852812,0.00852812,0.00852812
