epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.341,3.19011,3.18076,0.8131,0.57673,0.39595,0.35927,0.10687,2.97276,1.55682,0.78535,0.00199575,0.00199575,0.0820382
2,764.459,3.12507,1.66478,0.78174,0.65815,0.39281,0.40685,0.12973,2.95007,1.46746,0.77795,0.00399478,0.00399478,0.0640372
3,1131.29,3.13364,1.62922,0.7887,0.33722,0.27519,0.17924,0.04383,3.4317,1.66591,0.82001,0.0059899,0.0059899,0.0460324
4,1501.09,3.16283,1.59731,0.79002,0.58842,0.40363,0.3878,0.11262,2.99302,1.54582,0.79311,0.00797819,0.00797819,0.0280207
5,1874.77,3.14143,1.57182,0.79299,0.65533,0.42668,0.42812,0.13288,2.8829,1.49038,0.79222,0.00995674,0.00995674,0.0099992
6,2243.04,3.11767,1.53989,0.79524,0.66767,0.45496,0.4575,0.1414,2.87843,1.39879,0.78533,0.00993906,0.00993906,0.00993906
7,2614.9,3.06418,1.41395,0.78211,0.71081,0.46858,0.48157,0.15397,2.85436,1.37224,0.78173,0.00991232,0.00991232,0.00991232
8,2986.64,3.00426,1.34943,0.78685,0.68032,0.50349,0.49477,0.15487,2.84009,1.30524,0.7722,0.00988079,0.00988079,0.00988079
9,3363.04,2.90603,1.26744,0.77585,0.71514,0.50349,0.51789,0.16583,2.77485,1.31956,0.78423,0.00984449,0.00984449,0.00984449
10,3747.97,2.90189,1.26257,0.77579,0.7294,0.53457,0.55853,0.17479,2.71561,1.19921,0.77269,0.00980345,0.00980345,0.00980345
11,4127.87,2.85591,1.2152,0.77568,0.76045,0.5611,0.58366,0.20243,2.64049,1.10424,0.76763,0.00975773,0.00975773,0.00975773
12,4499.38,2.84569,1.20294,0.77356,0.72171,0.52158,0.53033,0.18297,2.73559,1.13746,0.78433,0.00970736,0.00970736,0.00970736
13,4866.38,2.848,1.18275,0.75941,0.7714,0.56437,0.58843,0.20632,2.62214,1.06266,0.76913,0.00965239,0.00965239,0.00965239
14,5239.7,2.78618,1.14099,0.76026,0.78806,0.58422,0.61797,0.22168,2.58659,1.04364,0.76114,0.00959289,0.00959289,0.00959289
15,5602.72,2.76134,1.12684,0.75989,0.79812,0.58485,0.62543,0.22533,2.5894,1.03196,0.7654,0.00952889,0.00952889,0.00952889
16,5986.63,2.76451,1.12204,0.76113,0.77837,0.58659,0.60684,0.20544,2.63288,1.03554,0.77033,0.00946048,0.00946048,0.00946048
17,6355.72,2.73788,1.10098,0.76067,0.78444,0.57193,0.61163,0.22506,2.61071,1.00946,0.76076,0.00938772,0.00938772,0.00938772
18,6734.28,2.74065,1.10628,0.76035,0.81474,0.57228,0.62051,0.22688,2.57334,1.02267,0.75795,0.00931067,0.00931067,0.00931067
19,7116.08,2.711,1.08174,0.76097,0.81505,0.6023,0.64229,0.23603,2.50943,0.95136,0.75722,0.00922942,0.00922942,0.00922942
20,7497.87,2.69939,1.06357,0.75564,0.82413,0.59183,0.63952,0.23446,2.55321,0.98832,0.75505,0.00914405,0.00914405,0.00914405
21,7880.84,2.68934,1.0768,0.75884,0.78832,0.59916,0.62696,0.22986,2.55627,1.00581,0.76106,0.00905463,0.00905463,0.00905463
22,8264.19,2.67547,1.06004,0.75286,0.83099,0.61348,0.65649,0.24491,2.48574,0.94329,0.75308,0.00896127,0.00896127,0.00896127
23,8645.21,2.66636,1.04254,0.75169,0.81995,0.61592,0.65591,0.24682,2.50598,0.93837,0.76055,0.00886404,0.00886404,0.00886404
24,9023.55,2.65102,1.04033,0.74742,0.82889,0.61802,0.66214,0.25028,2.47707,0.93716,0.75314,0.00876305,0.00876305,0.00876305
25,9408.3,2.65072,1.03212,0.75772,0.8156,0.63373,0.67213,0.26001,2.44967,0.93079,0.75466,0.00865839,0.00865839,0.00865839
26,9787.5,2.61366,1.02155,0.7477,0.84181,0.61941,0.66574,0.251,2.49715,0.94723,0.75258,0.00855018,0.00855018,0.00855018
27,10158.5,2.62455,1.0102,0.74921,0.83572,0.61487,0.67116,0.26869,2.41667,0.90208,0.75423,0.00843851,0.00843851,0.00843851
28,10534.9,2.64633,1.02517,0.75363,0.83671,0.62151,0.67378,0.25901,2.4412,0.9123,0.74957,0.00832349,0.00832349,0.00832349
29,10899.2,2.59459,1.00991,0.74457,0.84375,0.63198,0.68805,0.2656,2.43194,0.92764,0.74742,0.00820525,0.00820525,0.00820525
30,11261.5,2.58742,1.00619,0.74626,0.8446,0.63094,0.68293,0.26652,2.4081,0.92229,0.74927,0.00808389,0.00808389,0.00808389
31,11628.7,2.60495,1.00433,0.74561,0.82956,0.63559,0.68378,0.27253,2.41379,0.91104,0.7434,0.00795954,0.00795954,0.00795954
32,11992.9,2.5787,1.00785,0.73967,0.84261,0.64304,0.69543,0.2752,2.35875,0.89829,0.74708,0.00783231,0.00783231,0.00783231
33,12358.4,2.56577,0.99292,0.73997,0.86031,0.64804,0.70386,0.28825,2.32706,0.89597,0.73979,0.00770234,0.00770234,0.00770234
34,12721.5,2.53979,0.99121,0.74453,0.83079,0.64001,0.69483,0.28201,2.32406,0.88757,0.74213,0.00756976,0.00756976,0.00756976
35,13083.4,2.50843,0.98475,0.74096,0.84725,0.6391,0.70459,0.29074,2.33984,0.88198,0.74346,0.00743468,0.00743468,0.00743468
