epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,685.777,1.65456,2.50999,1.12516,0.41403,0.22927,0.18839,0.10871,1.50461,1.55089,1.09005,0.00199506,0.00199506,0.0820444
2,1595.2,1.55327,1.63423,1.07523,0.2906,0.28504,0.24527,0.14331,1.47051,1.39993,1.07537,0.00397071,0.00397071,0.0640201
3,2252.77,1.53313,1.48861,1.06304,0.34742,0.32384,0.28372,0.16702,1.45935,1.33752,1.06138,0.00584982,0.00584982,0.0458992
4,3374.11,1.52529,1.43374,1.05291,0.36608,0.32704,0.29846,0.17456,1.4701,1.34265,1.06752,0.00756371,0.00756371,0.0276131
5,4463.64,1.53893,1.39983,1.05482,0.39001,0.31708,0.29634,0.17501,1.49648,1.33723,1.06021,0.00905016,0.00905016,0.00909955
6,5862.19,1.52502,1.35605,1.04587,0.39603,0.34804,0.32399,0.19155,1.45515,1.26605,1.04232,0.00855018,0.00855018,0.00855018
7,6899.35,1.49703,1.30201,1.03534,0.42156,0.36023,0.34132,0.20615,1.41834,1.24756,1.03393,0.00795954,0.00795954,0.00795954
8,7547.07,1.46655,1.25717,1.02336,0.44649,0.37633,0.36175,0.21916,1.41409,1.2009,1.02758,0.00729725,0.00729725,0.00729725
9,8090.17,1.45771,1.23124,1.02187,0.46004,0.37343,0.3725,0.22518,1.39603,1.17263,1.02067,0.00657963,0.00657963,0.00657963
10,9237.93,1.43439,1.18838,1.01184,0.4733,0.39732,0.39371,0.23836,1.37345,1.14033,1.01746,0.00582435,0.00582435,0.00582435
11,10080,1.42173,1.16078,1.00686,0.47965,0.38552,0.38507,0.23365,1.38294,1.15068,1.0174,0.00505,0.00505,0.00505
12,10653.2,1.4091,1.13654,1.00179,0.50067,0.40868,0.41012,0.25153,1.36386,1.10441,1.00934,0.00427565,0.00427565,0.00427565
13,11638.9,1.39835,1.12025,0.9986,0.48844,0.41925,0.4165,0.25506,1.35218,1.08668,1.00176,0.00352037,0.00352037,0.00352037
14,12199.2,1.38591,1.09729,0.99232,0.5128,0.41188,0.42278,0.25949,1.34995,1.07573,1.00092,0.00280275,0.00280275,0.00280275
15,13245.1,1.37437,1.08061,0.98636,0.52071,0.40917,0.42869,0.26339,1.33857,1.06244,0.99721,0.00214046,0.00214046,0.00214046
16,14440.2,1.35964,1.06036,0.98222,0.51975,0.41952,0.43414,0.26758,1.34085,1.05676,0.9953,0.00154982,0.00154982,0.00154982
17,15394.4,1.35414,1.04529,0.98103,0.53664,0.42058,0.44157,0.27169,1.32668,1.04221,0.99461,0.00104537,0.00104537,0.00104537
18,16662.6,1.34633,1.037,0.97959,0.53248,0.42502,0.4462,0.27477,1.32203,1.03068,0.99051,0.000639518,0.000639518,0.000639518
19,17846.4,1.34309,1.02893,0.9771,0.53982,0.42934,0.44834,0.27671,1.32078,1.02945,0.98947,0.00034227,0.00034227,0.00034227
20,18740.3,1.33993,1.01958,0.97548,0.53883,0.4279,0.44792,0.27627,1.32177,1.02703,0.98897,0.000160943,0.000160943,0.000160943
