epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,431.338,3.22171,4.09274,0.82892,0.56515,0.35265,0.33476,0.09937,3.03132,1.58889,0.79679,0.00199575,0.00199575,0.0820382
2,828.563,3.15753,1.69203,0.78538,0.54463,0.33729,0.29865,0.08495,3.07927,1.7933,0.78596,0.00399478,0.00399478,0.0640372
3,1233.95,3.1777,1.63923,0.79351,0.58971,0.4176,0.37113,0.10431,3.05594,1.45313,0.79083,0.0059899,0.0059899,0.0460324
4,1640.5,3.17329,1.58009,0.78975,0.69317,0.40677,0.41037,0.12521,2.98375,1.57868,0.78177,0.00797819,0.00797819,0.0280207
5,2046.89,3.16688,1.58576,0.79181,0.61515,0.42144,0.40009,0.12254,2.91066,3.30954,0.78922,0.00995674,0.00995674,0.0099992
6,2453.77,3.11043,1.52533,0.79088,0.63992,0.4602,0.44542,0.13901,2.86348,1.37172,0.78112,0.00993906,0.00993906,0.00993906
7,2862.42,3.06208,1.42479,0.77984,0.70816,0.5014,0.49239,0.15376,2.86506,1.47875,0.77704,0.00991232,0.00991232,0.00991232
8,3268.98,2.99362,1.35001,0.78434,0.72339,0.49441,0.50792,0.16111,2.8552,1.19861,0.77425,0.00988079,0.00988079,0.00988079
9,3679.49,2.90594,1.25386,0.77402,0.76093,0.54011,0.57508,0.19271,2.70773,1.12043,0.7647,0.00984449,0.00984449,0.00984449
10,4083.15,2.90694,1.22723,0.77455,0.78261,0.54958,0.58942,0.19799,2.64576,1.11899,0.77402,0.00980345,0.00980345,0.00980345
11,4486.59,2.84078,1.19156,0.77773,0.6602,0.4808,0.47678,0.15412,2.83829,1.20458,0.78346,0.00975773,0.00975773,0.00975773
12,4894.69,2.83788,1.20063,0.7742,0.77111,0.54504,0.58101,0.19944,2.66806,1.09347,0.76987,0.00970736,0.00970736,0.00970736
13,5298.19,2.8427,1.17414,0.75945,0.77894,0.54469,0.58744,0.1998,2.68256,1.06447,0.77381,0.00965239,0.00965239,0.00965239
14,5698.3,2.79208,1.12649,0.7615,0.79016,0.57716,0.59795,0.20883,2.62895,1.04965,0.76141,0.00959289,0.00959289,0.00959289
15,6095.98,2.75294,1.11413,0.75893,0.80196,0.57647,0.6113,0.2235,2.60379,1.01965,0.76027,0.00952889,0.00952889,0.00952889
16,6490.05,2.77387,1.12058,0.76164,0.802,0.6037,0.63753,0.22984,2.59412,0.98852,0.7682,0.00946048,0.00946048,0.00946048
