epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.874,3.22104,3.85297,0.82689,0.55775,0.3736,0.35844,0.10841,3.00266,1.66119,0.77988,0.00199575,0.00199575,0.0820382
2,765.959,3.15805,1.68432,0.78399,0.65457,0.37709,0.37739,0.12185,2.97189,1.634,0.78231,0.00399478,0.00399478,0.0640372
3,1142.6,3.18141,1.64838,0.7934,0.60926,0.42004,0.40784,0.11855,2.94142,1.56809,0.78755,0.0059899,0.0059899,0.0460324
4,1514.25,3.16655,1.58557,0.78926,0.67379,0.40992,0.43556,0.14174,2.9331,1.46245,0.77736,0.00797819,0.00797819,0.0280207
5,1890.21,3.16913,1.61373,0.79502,0.62122,0.40992,0.3825,0.10213,3.03825,2.12676,0.79291,0.00995674,0.00995674,0.0099992
6,2260.69,3.14011,1.56639,0.79261,0.57538,0.35153,0.34036,0.09776,3.07158,1.58468,0.80545,0.00993906,0.00993906,0.00993906
7,2636.41,3.06127,1.40973,0.77992,0.71802,0.50767,0.51429,0.1625,2.80102,1.2681,0.76891,0.00991232,0.00991232,0.00991232
8,3011.49,3.00018,1.35866,0.77986,0.71,0.50279,0.51637,0.16812,2.76695,1.311,0.77877,0.00988079,0.00988079,0.00988079
9,3387.45,2.91291,1.30884,0.77237,0.74606,0.50978,0.54062,0.16992,2.76343,1.19879,0.77236,0.00984449,0.00984449,0.00984449
10,3767.75,2.90891,1.27748,0.77497,0.68227,0.47311,0.48785,0.15058,2.84895,1.23041,0.77765,0.00980345,0.00980345,0.00980345
11,4145.36,2.85271,1.22393,0.77466,0.7065,0.53073,0.54188,0.17498,2.7737,1.13434,0.77726,0.00975773,0.00975773,0.00975773
12,4519.41,2.8459,1.21401,0.77368,0.72806,0.51082,0.52886,0.17049,2.76657,1.24169,0.77417,0.00970736,0.00970736,0.00970736
13,4895.27,2.84189,1.17895,0.75921,0.78155,0.56075,0.59677,0.20797,2.65296,1.04929,0.77257,0.00965239,0.00965239,0.00965239
14,5271.03,2.80084,1.14971,0.76018,0.78132,0.57786,0.61338,0.21557,2.62216,1.06908,0.76253,0.00959289,0.00959289,0.00959289
15,5648.1,2.75205,1.14208,0.75767,0.80724,0.58135,0.62248,0.21983,2.58869,1.05703,0.76388,0.00952889,0.00952889,0.00952889
16,6017.01,2.77095,1.14416,0.76084,0.77664,0.56455,0.60746,0.2119,2.62421,1.06797,0.77024,0.00946048,0.00946048,0.00946048
17,6392.3,2.73643,1.1377,0.75881,0.79691,0.56175,0.60608,0.2172,2.61081,1.04652,0.76221,0.00938772,0.00938772,0.00938772
18,6771.04,2.73113,1.11893,0.75758,0.81589,0.60091,0.64215,0.23388,2.53976,1.00417,0.75273,0.00931067,0.00931067,0.00931067
19,7147.86,2.69364,1.1069,0.75678,0.77596,0.57322,0.61052,0.21491,2.60572,1.03816,0.76429,0.00922942,0.00922942,0.00922942
20,7523.37,2.69407,1.10478,0.75335,0.80262,0.61173,0.64809,0.24148,2.49304,0.99241,0.75627,0.00914405,0.00914405,0.00914405
21,7904.72,2.66539,1.08616,0.75453,0.79502,0.60942,0.64492,0.23426,2.48971,1.00713,0.75462,0.00905463,0.00905463,0.00905463
22,8285.22,2.64881,1.07776,0.74826,0.78108,0.59951,0.63534,0.2248,2.56209,1.01003,0.75723,0.00896127,0.00896127,0.00896127
23,8664.92,2.65074,1.06079,0.74769,0.82519,0.60983,0.66498,0.25586,2.43921,0.96984,0.75793,0.00886404,0.00886404,0.00886404
24,9041.44,2.62304,1.06601,0.74402,0.82025,0.61522,0.66558,0.25226,2.44539,0.95354,0.75014,0.00876305,0.00876305,0.00876305
25,9418.52,2.61502,1.04074,0.75246,0.82855,0.63952,0.68512,0.26306,2.41962,0.93952,0.75244,0.00865839,0.00865839,0.00865839
26,9802.34,2.57663,1.03164,0.74572,0.83976,0.61592,0.67586,0.25866,2.41544,0.93716,0.75099,0.00855018,0.00855018,0.00855018
27,10188.5,2.57752,1.02573,0.74504,0.82428,0.6257,0.68102,0.26501,2.38612,0.93474,0.75005,0.00843851,0.00843851,0.00843851
28,10569.1,2.60211,1.0351,0.74813,0.81697,0.61592,0.66722,0.25376,2.43777,0.94218,0.75243,0.00832349,0.00832349,0.00832349
29,10946.9,2.56179,1.01875,0.7431,0.83163,0.63094,0.68323,0.25951,2.41834,0.93137,0.75376,0.00820525,0.00820525,0.00820525
30,11323.1,2.56067,1.00987,0.74343,0.81784,0.63644,0.68002,0.26982,2.37757,0.93622,0.75005,0.00808389,0.00808389,0.00808389
31,11704.1,2.57163,1.01831,0.74424,0.81462,0.63338,0.68001,0.26274,2.37887,0.91919,0.75325,0.00795954,0.00795954,0.00795954
32,12080.4,2.55008,1.01609,0.73735,0.82079,0.63647,0.67949,0.26408,2.41151,0.92655,0.75585,0.00783231,0.00783231,0.00783231
33,12457.6,2.54973,1.00357,0.73864,0.82396,0.65573,0.70515,0.28355,2.33493,0.90208,0.74459,0.00770234,0.00770234,0.00770234
34,12834.5,2.52278,0.99338,0.74396,0.81887,0.63774,0.69025,0.27586,2.34294,0.90685,0.74489,0.00756976,0.00756976,0.00756976
35,13209.6,2.48352,0.97872,0.73906,0.81976,0.64315,0.68911,0.27116,2.36448,0.90446,0.74852,0.00743468,0.00743468,0.00743468
36,13588.2,2.49636,0.97025,0.73777,0.81573,0.63374,0.67788,0.24981,2.42951,0.9242,0.75587,0.00729725,0.00729725,0.00729725
37,13966.9,2.47931,0.95969,0.73806,0.81436,0.65189,0.69821,0.28135,2.32429,0.89345,0.74663,0.00715761,0.00715761,0.00715761
38,14341.4,2.49845,0.96854,0.7348,0.82695,0.65992,0.70702,0.28642,2.30662,0.88153,0.74782,0.00701588,0.00701588,0.00701588
39,14716.7,2.4811,0.95972,0.73099,0.84604,0.64595,0.69734,0.2759,2.33379,0.89183,0.74724,0.00687222,0.00687222,0.00687222
40,15093,2.49704,0.95517,0.73076,0.82575,0.64839,0.70268,0.28114,2.32321,0.87955,0.74861,0.00672675,0.00672675,0.00672675
41,15467.3,2.46086,0.9602,0.73848,0.83346,0.64979,0.69545,0.28141,2.31638,0.88178,0.7488,0.00657963,0.00657963,0.00657963
42,15845.2,2.44712,0.94215,0.73463,0.83538,0.65381,0.70523,0.28401,2.30125,0.873,0.74032,0.00643101,0.00643101,0.00643101
43,16224.9,2.42088,0.92652,0.7337,0.85438,0.66271,0.71539,0.2968,2.26417,0.8556,0.74141,0.00628101,0.00628101,0.00628101
44,16605.9,2.42446,0.93934,0.73395,0.8337,0.66166,0.70631,0.28693,2.29965,0.86342,0.75029,0.00612981,0.00612981,0.00612981
45,16982.4,2.4178,0.93283,0.73698,0.83567,0.66406,0.71452,0.29207,2.27775,0.85877,0.74589,0.00597754,0.00597754,0.00597754
46,17362.2,2.42354,0.92968,0.73424,0.84207,0.66061,0.71609,0.29228,2.26455,0.85113,0.74458,0.00582435,0.00582435,0.00582435
47,17742,2.42575,0.92461,0.72974,0.8446,0.67074,0.72174,0.29431,2.26002,0.84808,0.74483,0.0056704,0.0056704,0.0056704
48,18117.9,2.4119,0.91693,0.7326,0.83931,0.66747,0.71405,0.2894,2.28937,0.85562,0.74567,0.00551584,0.00551584,0.00551584
49,18495.2,2.42226,0.92019,0.7322,0.85554,0.67947,0.73064,0.30224,2.22708,0.83866,0.7413,0.00536081,0.00536081,0.00536081
50,18867.9,2.39886,0.90982,0.73129,0.84796,0.66403,0.71469,0.29862,2.24572,0.84278,0.74328,0.00520548,0.00520548,0.00520548
51,19247.2,2.38491,0.90817,0.73201,0.85104,0.67423,0.72479,0.29504,2.25313,0.84491,0.74033,0.00505,0.00505,0.00505
52,19623.1,2.3926,0.89633,0.72715,0.85574,0.67523,0.72851,0.30414,2.2409,0.83538,0.74075,0.00489452,0.00489452,0.00489452
53,19992.7,2.3679,0.89561,0.73067,0.84858,0.67598,0.72788,0.30145,2.24286,0.82869,0.74191,0.00473919,0.00473919,0.00473919
54,20371.1,2.35616,0.89429,0.72806,0.84904,0.68017,0.73479,0.30788,2.21041,0.82396,0.73815,0.00458416,0.00458416,0.00458416
55,20745.7,2.36959,0.89101,0.72644,0.85669,0.67703,0.72869,0.3078,2.20797,0.81608,0.73996,0.0044296,0.0044296,0.0044296
56,21125.8,2.36508,0.88753,0.72565,0.84037,0.67528,0.72496,0.29889,2.24713,0.83106,0.73617,0.00427565,0.00427565,0.00427565
57,21505.5,2.34425,0.88408,0.72597,0.84545,0.68191,0.73288,0.30993,2.19863,0.82127,0.73493,0.00412246,0.00412246,0.00412246
58,21883.1,2.33242,0.86686,0.72375,0.85144,0.67493,0.73221,0.30646,2.21633,0.81448,0.73817,0.00397019,0.00397019,0.00397019
59,22263.4,2.33514,0.87298,0.72483,0.85373,0.68575,0.73836,0.31226,2.20259,0.80933,0.73715,0.00381899,0.00381899,0.00381899
