epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,788.89,2.53585,3.18687,1.08302,0.50451,0.23286,0.22395,0.06267,3.05439,2.76266,1.30164,0.00199947,0.00199947,0.0820048
2,1462.86,3.07789,2.62782,1.13589,0.4643,0.29993,0.26781,0.08728,2.78224,2.46701,1.14721,0.00399849,0.00399849,0.0640038
3,2133.29,2.89767,2.38096,1.07804,0.60991,0.39197,0.39495,0.1271,2.70553,2.04215,1.11092,0.00599361,0.00599361,0.0459989
4,2803.05,2.83943,2.28874,1.03998,0.58629,0.39595,0.39465,0.13521,2.56043,1.99049,1.08098,0.0079819,0.0079819,0.0279872
5,3474.43,2.77618,2.22517,1.02972,0.66324,0.45077,0.46548,0.16195,2.47842,1.8202,1.05519,0.00996044,0.00996044,0.00996575
6,4151.07,2.70881,2.06482,1.00368,0.71954,0.44432,0.49286,0.17495,2.40946,1.82613,1.04633,0.00993906,0.00993906,0.00993906
7,4825.36,2.62245,1.9083,0.99076,0.72844,0.47591,0.52255,0.19122,2.34214,1.7161,1.02585,0.00991232,0.00991232,0.00991232
8,5502.31,2.58285,1.82372,0.98693,0.73488,0.49165,0.54171,0.19113,2.30843,1.5102,1.02406,0.00988079,0.00988079,0.00988079
9,6172.76,2.55037,1.76148,0.98438,0.82537,0.49581,0.56347,0.20706,2.28315,1.54271,1.01232,0.00984449,0.00984449,0.00984449
10,6840.09,2.53634,1.72927,0.97019,0.77039,0.53352,0.59364,0.22013,2.25157,1.40414,1.01208,0.00980345,0.00980345,0.00980345
11,7505.42,2.48369,1.64837,0.96422,0.79274,0.55028,0.61644,0.23661,2.20676,1.33899,1.00193,0.00975773,0.00975773,0.00975773
12,8170.09,2.47901,1.60527,0.96424,0.79762,0.53805,0.59926,0.22747,2.22384,1.39347,1.02126,0.00970736,0.00970736,0.00970736
13,8845.98,2.45998,1.61095,0.96311,0.78155,0.55168,0.61624,0.23344,2.20296,1.30559,1.01128,0.00965239,0.00965239,0.00965239
14,9512.23,2.42983,1.53926,0.95536,0.80706,0.56075,0.63191,0.23617,2.20558,1.26309,1.00667,0.00959289,0.00959289,0.00959289
15,10180.3,2.41452,1.49126,0.95197,0.79672,0.56929,0.64103,0.24125,2.18484,1.25949,1.00126,0.00952889,0.00952889,0.00952889
16,10860.6,2.39316,1.48957,0.94804,0.80238,0.5852,0.64867,0.24523,2.17669,1.19377,1.01214,0.00946048,0.00946048,0.00946048
17,11548.9,2.39847,1.48451,0.9492,0.78968,0.57367,0.63994,0.24667,2.14842,1.18543,1.00047,0.00938772,0.00938772,0.00938772
