epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,780.361,2.59338,2.73606,1.063,0.46063,0.28073,0.23491,0.07214,2.91731,2.61228,1.2245,0.00199947,0.00199947,0.0820048
2,1435,2.97353,2.47953,1.09603,0.553,0.37221,0.33653,0.10929,2.7113,2.16884,1.11493,0.00399849,0.00399849,0.0640038
3,2092.42,2.85645,2.34001,1.06349,0.57715,0.38507,0.3788,0.12707,2.63461,2.117,1.09268,0.00599361,0.00599361,0.0459989
4,2746.85,2.7987,2.26226,1.0322,0.6103,0.41376,0.4254,0.15164,2.51641,1.94462,1.06166,0.0079819,0.0079819,0.0279872
5,3401.78,2.77317,2.19675,1.02739,0.67518,0.4382,0.46834,0.16382,2.47676,1.80139,1.0547,0.00996044,0.00996044,0.00996575
6,4055,2.69121,2.02501,1.00031,0.68139,0.44132,0.46861,0.16611,2.39367,1.79347,1.03306,0.00993906,0.00993906,0.00993906
7,4708.18,2.61729,1.88038,0.98801,0.69795,0.48918,0.52713,0.188,2.32256,1.6157,1.0177,0.00991232,0.00991232,0.00991232
8,5364.26,2.57158,1.8038,0.98149,0.76139,0.52095,0.57191,0.20559,2.28306,1.44766,1.0137,0.00988079,0.00988079,0.00988079
9,6018.98,2.54235,1.73244,0.98045,0.74973,0.51781,0.55479,0.20508,2.30424,1.39224,1.02305,0.00984449,0.00984449,0.00984449
10,6675.87,2.5262,1.6932,0.96676,0.77314,0.5192,0.58227,0.21554,2.27814,1.41565,1.01594,0.00980345,0.00980345,0.00980345
11,7333.78,2.48734,1.62543,0.96126,0.78712,0.5461,0.6117,0.22829,2.22671,1.37806,0.99686,0.00975773,0.00975773,0.00975773
12,7994,2.46635,1.59195,0.95722,0.78922,0.54784,0.62193,0.2348,2.25855,1.30073,1.01406,0.00970736,0.00970736,0.00970736
13,8654.41,2.46235,1.60042,0.96076,0.8148,0.55971,0.63153,0.23967,2.19958,1.26384,1.00446,0.00965239,0.00965239,0.00965239
14,9310.68,2.43483,1.52222,0.95267,0.8101,0.55482,0.62357,0.22978,2.21576,1.23018,1.00283,0.00959289,0.00959289,0.00959289
15,9968.65,2.4223,1.48792,0.94929,0.81451,0.57034,0.65635,0.25074,2.17125,1.21336,0.98572,0.00952889,0.00952889,0.00952889
16,10624.4,2.39511,1.48301,0.94737,0.79672,0.57123,0.64091,0.2287,2.2416,1.2286,1.01589,0.00946048,0.00946048,0.00946048
17,11281.3,2.40072,1.47058,0.95197,0.77997,0.58869,0.65332,0.24878,2.146,1.18598,0.99826,0.00938772,0.00938772,0.00938772
18,11941.7,2.366,1.43604,0.94486,0.80381,0.60719,0.67219,0.25392,2.13614,1.17661,0.99561,0.00931067,0.00931067,0.00931067
19,12600.7,2.37403,1.41863,0.94295,0.80673,0.61358,0.67501,0.25885,2.11676,1.14609,0.98752,0.00922942,0.00922942,0.00922942
20,13260.1,2.36749,1.42638,0.94154,0.79839,0.61946,0.68556,0.26284,2.13216,1.14435,0.99123,0.00914405,0.00914405,0.00914405
21,13920,2.34858,1.39609,0.93974,0.82818,0.60929,0.68521,0.26912,2.11733,1.1346,0.99172,0.00905463,0.00905463,0.00905463
22,14582.9,2.32488,1.3762,0.9372,0.83249,0.61767,0.69056,0.26466,2.12955,1.12986,0.98848,0.00896127,0.00896127,0.00896127
23,15245.7,2.3351,1.36845,0.93055,0.82524,0.61453,0.69127,0.27297,2.09039,1.13344,0.98658,0.00886404,0.00886404,0.00886404
24,15907.5,2.32178,1.35267,0.93262,0.82216,0.62744,0.69527,0.26881,2.08289,1.12681,0.98303,0.00876305,0.00876305,0.00876305
25,16573.2,2.29763,1.32671,0.93832,0.81851,0.63932,0.69919,0.27157,2.08868,1.09726,0.98521,0.00865839,0.00865839,0.00865839
26,17237.8,2.29701,1.32737,0.93319,0.83535,0.63897,0.71045,0.28094,2.06157,1.06773,0.98415,0.00855018,0.00855018,0.00855018
27,17901.7,2.28313,1.31579,0.92612,0.83374,0.64959,0.71629,0.28851,2.06508,1.06647,0.98042,0.00843851,0.00843851,0.00843851
28,18567.5,2.27759,1.31093,0.92494,0.82783,0.63932,0.7158,0.28657,2.0487,1.07214,0.97247,0.00832349,0.00832349,0.00832349
29,19232.9,2.26931,1.29567,0.92116,0.84151,0.6456,0.72203,0.29096,2.04516,1.05507,0.97904,0.00820525,0.00820525,0.00820525
30,19901,2.26498,1.28518,0.92094,0.84078,0.65573,0.72245,0.28748,2.02563,1.04875,0.97411,0.00808389,0.00808389,0.00808389
31,20566.6,2.26258,1.27831,0.92868,0.81906,0.65468,0.71535,0.2825,2.03198,1.04524,0.97558,0.00795954,0.00795954,0.00795954
32,21231.5,2.24835,1.24736,0.92294,0.86187,0.6676,0.73997,0.29151,2.00513,1.01019,0.9692,0.00783231,0.00783231,0.00783231
33,21896.9,2.23459,1.24658,0.92295,0.8314,0.66061,0.7256,0.2887,2.01027,1.02162,0.96473,0.00770234,0.00770234,0.00770234
34,22562.8,2.23221,1.23051,0.91475,0.83715,0.65538,0.73468,0.2972,2.00537,1.01637,0.97015,0.00756976,0.00756976,0.00756976
35,23228.5,2.22107,1.23425,0.91628,0.83273,0.66061,0.7319,0.29875,2.00609,1.02089,0.97115,0.00743468,0.00743468,0.00743468
36,23897.7,2.2051,1.21917,0.92116,0.86163,0.6501,0.73524,0.29937,2.01207,1.01384,0.97163,0.00729725,0.00729725,0.00729725
37,24568.1,2.23066,1.21717,0.91905,0.84769,0.66725,0.74274,0.2955,1.99042,0.99876,0.9641,0.00715761,0.00715761,0.00715761
38,25236.5,2.20698,1.21414,0.91741,0.84335,0.67737,0.7483,0.30534,1.99508,1.0095,0.96238,0.00701588,0.00701588,0.00701588
39,25902.8,2.19448,1.18894,0.91069,0.84607,0.67668,0.74461,0.30517,1.97624,0.99159,0.96529,0.00687222,0.00687222,0.00687222
40,26569.6,2.18741,1.18612,0.90814,0.85117,0.67496,0.7468,0.30956,1.95893,0.99766,0.96254,0.00672675,0.00672675,0.00672675
41,27237.7,2.19498,1.19828,0.91278,0.85325,0.66994,0.74787,0.3023,1.95377,0.992,0.95166,0.00657963,0.00657963,0.00657963
42,27906,2.17693,1.17913,0.90741,0.84595,0.67388,0.74678,0.30826,1.96154,0.98198,0.96265,0.00643101,0.00643101,0.00643101
43,28571.6,2.16889,1.17341,0.90829,0.8601,0.68262,0.75422,0.313,1.95419,0.97162,0.96015,0.00628101,0.00628101,0.00628101
44,29238.6,2.171,1.16125,0.9075,0.86373,0.68366,0.75231,0.31359,1.96389,0.97477,0.96771,0.00612981,0.00612981,0.00612981
45,29907,2.17022,1.16816,0.90795,0.85345,0.68331,0.75052,0.30882,1.95265,0.97239,0.9587,0.00597754,0.00597754,0.00597754
46,30577.4,2.1752,1.1778,0.90424,0.8616,0.68226,0.7528,0.31092,1.94816,0.9761,0.95851,0.00582435,0.00582435,0.00582435
47,31247.9,2.15171,1.14936,0.8981,0.84694,0.69553,0.75885,0.31258,1.94517,0.96631,0.95869,0.0056704,0.0056704,0.0056704
48,31918.8,2.16703,1.16965,0.90895,0.84332,0.70042,0.75972,0.31248,1.93456,0.96744,0.95277,0.00551584,0.00551584,0.00551584
49,32591.3,2.1584,1.14662,0.90775,0.85299,0.70042,0.76468,0.31522,1.93136,0.96988,0.95018,0.00536081,0.00536081,0.00536081
50,33264.9,2.13703,1.13462,0.90466,0.85635,0.70391,0.76973,0.3158,1.92987,0.95184,0.95144,0.00520548,0.00520548,0.00520548
51,33940.4,2.14846,1.13999,0.90098,0.86328,0.70147,0.76904,0.31279,1.9308,0.95084,0.95058,0.00505,0.00505,0.00505
52,34615.8,2.11953,1.1261,0.89838,0.85532,0.70461,0.77017,0.32259,1.91828,0.94059,0.95223,0.00489452,0.00489452,0.00489452
53,35281.8,2.12947,1.11192,0.90319,0.86603,0.69972,0.76812,0.31985,1.91711,0.94294,0.94885,0.00473919,0.00473919,0.00473919
54,35956.6,2.11705,1.10254,0.90104,0.86585,0.69518,0.76913,0.319,1.91991,0.94746,0.94677,0.00458416,0.00458416,0.00458416
55,36635.3,2.11443,1.09599,0.89316,0.85218,0.70356,0.76556,0.32229,1.91059,0.93701,0.94692,0.0044296,0.0044296,0.0044296
56,37305.3,2.11051,1.10649,0.8918,0.86342,0.69974,0.76915,0.31908,1.91651,0.94084,0.95077,0.00427565,0.00427565,0.00427565
57,37991.6,2.09161,1.08653,0.89492,0.85896,0.71927,0.78215,0.32808,1.88968,0.92594,0.94105,0.00412246,0.00412246,0.00412246
58,38678.8,2.11003,1.09127,0.89216,0.86311,0.71547,0.78379,0.32654,1.90371,0.93089,0.94386,0.00397019,0.00397019,0.00397019
59,39364.5,2.07256,1.07093,0.89012,0.85117,0.71885,0.77733,0.32501,1.9051,0.92906,0.94336,0.00381899,0.00381899,0.00381899
60,40048,2.09422,1.08444,0.88963,0.86177,0.71264,0.7767,0.32682,1.88915,0.93003,0.94287,0.00366899,0.00366899,0.00366899
61,40739.5,2.08302,1.08097,0.88669,0.86148,0.71578,0.77973,0.33085,1.88808,0.91852,0.94294,0.00352037,0.00352037,0.00352037
62,41429.2,2.07297,1.06422,0.89165,0.8567,0.71807,0.78133,0.33054,1.87895,0.91953,0.94146,0.00337325,0.00337325,0.00337325
63,42119.8,2.07012,1.0527,0.89111,0.87721,0.70985,0.78477,0.33233,1.88172,0.91581,0.94109,0.00322778,0.00322778,0.00322778
64,42811.6,2.0757,1.05927,0.89266,0.86944,0.72079,0.78542,0.33426,1.87424,0.91316,0.93836,0.00308412,0.00308412,0.00308412
