epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,319.466,2.05083,3.83765,1.21182,0.4368,0.1351,0.13589,0.08538,2.01797,2.42942,1.23241,0.00998582,0.00332861,0.00998582,0.00332861,0.00998582,0.00332861,0.00998582,0.00332861
2,475.972,2.07026,2.48678,1.17824,0.51191,0.21269,0.20408,0.11615,2.02639,2.08051,1.19155,0.0199528,0.00665095,0.0199528,0.00665095,0.0199528,0.00665095,0.0199528,0.00665095
3,630.013,2.04231,2.25091,1.19255,0.56493,0.21569,0.20896,0.11967,2.0628,2.06564,1.23059,0.0298869,0.00996229,0.0298869,0.00996229,0.0298869,0.00996229,0.0298869,0.00996229
4,782.94,2.08169,2.2885,1.19878,0.59964,0.22128,0.22291,0.12669,2.00362,2.12926,1.16771,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
5,940.99,2.01544,2.08826,1.17741,0.60194,0.24078,0.22444,0.13092,1.95601,2.00153,1.14183,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934
6,1093.63,1.9682,1.98484,1.16755,0.57356,0.25316,0.2553,0.14884,1.94572,1.92825,1.14945,0.0297525,0.0099175,0.0297525,0.0099175,0.0297525,0.0099175,0.0297525,0.0099175
7,1245.16,1.93611,1.93067,1.15153,0.48611,0.23199,0.22992,0.13354,2.01523,1.83514,1.15994,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
8,1397.03,1.94894,1.87502,1.13482,0.64946,0.25443,0.28428,0.16496,1.88846,1.68746,1.12221,0.0296535,0.0098845,0.0296535,0.0098845,0.0296535,0.0098845,0.0296535,0.0098845
9,1551.5,1.8941,1.81549,1.12718,0.55317,0.28486,0.29235,0.17202,1.84066,1.62948,1.10973,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
10,1705.65,1.88897,1.71578,1.11622,0.59744,0.27176,0.30521,0.17407,1.91702,1.66565,1.11972,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
