epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1635.06,3.19712,2.93363,0.81128,0.58982,0.44635,0.39405,0.11555,2.92395,1.42164,0.77835,0.00199576,0.00199576,0.0820381
2,1816.22,3.16591,1.64018,0.79104,0.51264,0.36691,0.28952,0.07428,3.13762,1.75468,0.80661,0.00399561,0.00399561,0.064038
3,1992.47,3.2326,1.62484,0.79875,0.65223,0.38338,0.37945,0.11587,3.00143,1.71078,0.80286,0.00599483,0.00599483,0.0460372
4,2167.7,3.26176,1.67415,0.79379,0.59688,0.41865,0.40676,0.12125,3.02557,1.49274,0.79052,0.00799295,0.00799295,0.0280353
5,2341.1,3.25352,1.61831,0.80507,0.54805,0.32772,0.30352,0.08349,3.17622,1.7026,0.83002,0.00998951,0.00998951,0.0100319
6,2514.47,3.19002,1.62421,0.7951,0.60939,0.43471,0.38274,0.11018,3.12176,1.42774,0.78646,0.00999023,0.00999023,0.00999023
7,2688.12,3.11155,1.48136,0.79555,0.67127,0.4581,0.45976,0.14159,2.90907,1.51323,0.78134,0.00998594,0.00998594,0.00998594
8,2861.61,3.02926,1.3915,0.79078,0.66107,0.45151,0.45047,0.14672,2.85464,1.25727,0.78779,0.00998086,0.00998086,0.00998086
9,3035.04,2.95078,1.29233,0.78543,0.75871,0.5281,0.55985,0.19069,2.71398,1.12769,0.76692,0.00997501,0.00997501,0.00997501
10,3207.75,2.91789,1.24124,0.7707,0.72507,0.50943,0.51432,0.16727,2.76096,1.14909,0.77367,0.00996838,0.00996838,0.00996838
11,3381,2.8952,1.23048,0.76933,0.76402,0.55168,0.56978,0.19478,2.66718,1.10355,0.76856,0.00996097,0.00996097,0.00996097
12,3554.27,2.84203,1.18277,0.7751,0.78764,0.53096,0.56045,0.19965,2.69497,1.13395,0.7803,0.00995278,0.00995278,0.00995278
13,3727.89,2.83117,1.17459,0.76515,0.75591,0.53876,0.57119,0.19895,2.66375,1.1106,0.76481,0.00994383,0.00994383,0.00994383
14,3900.81,2.80664,1.14535,0.76755,0.80048,0.57577,0.60741,0.21368,2.62514,1.02914,0.76356,0.0099341,0.0099341,0.0099341
15,4074.35,2.79781,1.14021,0.76321,0.77724,0.56878,0.60557,0.21813,2.60272,1.01902,0.76472,0.00992359,0.00992359,0.00992359
16,4247.45,2.76891,1.1131,0.75538,0.78933,0.57472,0.60041,0.21518,2.58489,1.03373,0.76261,0.00991232,0.00991232,0.00991232
17,4420.49,2.76185,1.09568,0.75621,0.78432,0.59148,0.62452,0.23148,2.58217,1.01339,0.75957,0.00990028,0.00990028,0.00990028
18,4593.81,2.7201,1.07894,0.75849,0.79525,0.59148,0.6226,0.23446,2.52976,1.02097,0.7557,0.00988748,0.00988748,0.00988748
19,4767.16,2.73341,1.07522,0.75829,0.78717,0.58758,0.61304,0.22201,2.60008,1.00764,0.75679,0.00987391,0.00987391,0.00987391
20,4940.59,2.71771,1.06645,0.75561,0.78308,0.59497,0.6214,0.22749,2.56449,0.97592,0.75786,0.00985958,0.00985958,0.00985958
21,5113.7,2.70397,1.05686,0.75545,0.81554,0.60126,0.63885,0.24513,2.47611,0.93914,0.75385,0.00984449,0.00984449,0.00984449
22,5286.78,2.68789,1.04691,0.76042,0.80741,0.63059,0.65614,0.24508,2.50555,0.94292,0.75357,0.00982864,0.00982864,0.00982864
23,5459.92,2.65376,1.03506,0.76396,0.79159,0.6058,0.63316,0.23604,2.48967,0.93422,0.75723,0.00981204,0.00981204,0.00981204
24,5633.12,2.6738,1.04805,0.75737,0.81449,0.61068,0.64509,0.24294,2.49886,0.92935,0.75431,0.00979468,0.00979468,0.00979468
25,5807.19,2.67711,1.02822,0.75172,0.82298,0.61906,0.65434,0.25333,2.44933,0.92408,0.74699,0.00977658,0.00977658,0.00977658
26,5980.66,2.66146,1.02566,0.74893,0.82077,0.61627,0.64856,0.24766,2.48706,0.92024,0.75006,0.00975773,0.00975773,0.00975773
27,6154.02,2.66114,1.02242,0.75083,0.81532,0.61941,0.65593,0.24457,2.46283,0.92612,0.75376,0.00973814,0.00973814,0.00973814
28,6327.33,2.63007,0.99965,0.74837,0.83914,0.62111,0.66235,0.25659,2.43377,0.90417,0.7518,0.0097178,0.0097178,0.0097178
29,6500.72,2.5985,0.98746,0.75035,0.81716,0.63513,0.66385,0.25355,2.44948,0.90449,0.74752,0.00969673,0.00969673,0.00969673
30,6674.35,2.62381,0.9941,0.74739,0.82375,0.61453,0.65641,0.25649,2.44287,0.88575,0.74919,0.00967493,0.00967493,0.00967493
31,6847.85,2.62077,0.98824,0.74483,0.80497,0.63699,0.66762,0.26127,2.42197,0.89613,0.74679,0.00965239,0.00965239,0.00965239
32,7021.45,2.59589,0.99365,0.75653,0.81507,0.62788,0.66271,0.26208,2.38826,0.88494,0.74424,0.00962913,0.00962913,0.00962913
33,7195.2,2.59811,0.98579,0.74745,0.82167,0.63338,0.67189,0.26721,2.39531,0.88382,0.75085,0.00960515,0.00960515,0.00960515
34,7368.92,2.58275,0.97126,0.74824,0.83491,0.6445,0.68431,0.27039,2.38702,0.88243,0.74704,0.00958044,0.00958044,0.00958044
35,7542.68,2.57316,0.96645,0.74316,0.84318,0.6458,0.68391,0.2728,2.38547,0.87095,0.74554,0.00955502,0.00955502,0.00955502
36,7716.56,2.5747,0.9635,0.74941,0.84644,0.64091,0.68559,0.27678,2.37715,0.87862,0.74662,0.00952889,0.00952889,0.00952889
37,7890.11,2.54392,0.95498,0.7473,0.82883,0.64071,0.686,0.27924,2.36502,0.86862,0.74568,0.00950206,0.00950206,0.00950206
38,8063.55,2.55744,0.95992,0.74484,0.8375,0.64385,0.68367,0.27552,2.36409,0.86084,0.74482,0.00947452,0.00947452,0.00947452
39,8237.64,2.57968,0.96089,0.74619,0.8287,0.64839,0.68197,0.27183,2.37395,0.86777,0.74511,0.00944628,0.00944628,0.00944628
40,8411.51,2.55426,0.96064,0.745,0.82896,0.64813,0.68354,0.27889,2.3507,0.84916,0.74422,0.00941734,0.00941734,0.00941734
41,8585.06,2.55691,0.94745,0.74059,0.84241,0.63966,0.68273,0.28363,2.33194,0.85185,0.74413,0.00938772,0.00938772,0.00938772
42,8758.28,2.54982,0.94852,0.74163,0.84317,0.64979,0.68948,0.28248,2.35501,0.85323,0.74497,0.00935741,0.00935741,0.00935741
43,8932.14,2.52545,0.9295,0.74218,0.85402,0.65569,0.70072,0.28547,2.33436,0.84126,0.74208,0.00932642,0.00932642,0.00932642
44,9105.6,2.52663,0.93962,0.74079,0.83602,0.65507,0.69236,0.2833,2.32541,0.83283,0.74088,0.00929476,0.00929476,0.00929476
45,9279.11,2.52036,0.92707,0.73949,0.84051,0.65433,0.69786,0.2886,2.31559,0.84313,0.74396,0.00926242,0.00926242,0.00926242
46,9453.03,2.53368,0.92574,0.73577,0.84097,0.66839,0.70766,0.28966,2.31605,0.82491,0.74206,0.00922942,0.00922942,0.00922942
47,9626.73,2.51412,0.90739,0.74429,0.84006,0.6662,0.70274,0.2864,2.32885,0.82619,0.74293,0.00919576,0.00919576,0.00919576
48,9800.37,2.47688,0.91893,0.74182,0.84721,0.65817,0.70006,0.28739,2.31437,0.83553,0.74636,0.00916145,0.00916145,0.00916145
49,9973.83,2.48015,0.90589,0.74079,0.85672,0.66201,0.70118,0.29055,2.3066,0.82215,0.74369,0.00912649,0.00912649,0.00912649
50,10147.4,2.48375,0.91667,0.74002,0.83982,0.6572,0.70321,0.29007,2.30416,0.81828,0.74557,0.00909088,0.00909088,0.00909088
51,10321.2,2.49521,0.91501,0.74225,0.85321,0.6616,0.705,0.29201,2.32443,0.82327,0.74628,0.00905463,0.00905463,0.00905463
52,10496.3,2.46756,0.91195,0.74277,0.84357,0.67807,0.71556,0.29615,2.29412,0.81431,0.74381,0.00901776,0.00901776,0.00901776
53,10669.8,2.49316,0.90656,0.74032,0.8466,0.66306,0.7028,0.2922,2.29715,0.81893,0.74032,0.00898025,0.00898025,0.00898025
54,10843.3,2.49187,0.9115,0.73676,0.84934,0.66136,0.70568,0.29156,2.29991,0.82026,0.74044,0.00894213,0.00894213,0.00894213
55,11016.7,2.47933,0.90543,0.73889,0.85266,0.67353,0.71499,0.29908,2.29418,0.81224,0.73783,0.00890339,0.00890339,0.00890339
56,11190.6,2.47788,0.91333,0.74088,0.84474,0.67563,0.71456,0.29927,2.27859,0.81364,0.73604,0.00886404,0.00886404,0.00886404
57,11364.9,2.49025,0.90379,0.73423,0.84513,0.67642,0.71174,0.30063,2.27373,0.80237,0.73966,0.00882409,0.00882409,0.00882409
58,11538.6,2.4728,0.90147,0.73815,0.84144,0.66704,0.70946,0.29783,2.28224,0.81209,0.74101,0.00878354,0.00878354,0.00878354
59,11711.9,2.45563,0.89456,0.74321,0.8404,0.67074,0.71238,0.30068,2.27525,0.81028,0.74013,0.00874241,0.00874241,0.00874241
60,11885.5,2.45443,0.88645,0.74058,0.85616,0.65883,0.7093,0.29962,2.25749,0.80298,0.73879,0.00870069,0.00870069,0.00870069
61,12059,2.48445,0.90418,0.73133,0.85562,0.67247,0.71964,0.30294,2.26378,0.80126,0.7395,0.00865839,0.00865839,0.00865839
62,12232.6,2.4621,0.89647,0.7323,0.84936,0.67179,0.71805,0.30818,2.2501,0.8014,0.73686,0.00861553,0.00861553,0.00861553
63,12406,2.45256,0.88773,0.73564,0.8611,0.67179,0.71872,0.30627,2.24511,0.79861,0.73727,0.0085721,0.0085721,0.0085721
64,12580,2.44004,0.89596,0.741,0.86396,0.67493,0.72124,0.30872,2.247,0.79925,0.73687,0.00852812,0.00852812,0.00852812
65,12754.1,2.44744,0.89529,0.74011,0.86508,0.66795,0.72026,0.31031,2.2447,0.79645,0.73683,0.00848358,0.00848358,0.00848358
66,12927.6,2.4479,0.89211,0.73654,0.8624,0.67839,0.72062,0.30723,2.25685,0.80473,0.7343,0.00843851,0.00843851,0.00843851
67,13101.3,2.44883,0.88446,0.73123,0.85061,0.68471,0.72417,0.30971,2.23445,0.80409,0.7346,0.0083929,0.0083929,0.0083929
68,13274.8,2.44599,0.88127,0.73142,0.87039,0.68959,0.73307,0.31596,2.2241,0.79923,0.73445,0.00834676,0.00834676,0.00834676
69,13448.4,2.44187,0.88589,0.72991,0.85682,0.68925,0.73128,0.31602,2.22639,0.79685,0.73377,0.0083001,0.0083001,0.0083001
70,13622.1,2.42927,0.8788,0.73567,0.86405,0.68573,0.73132,0.3151,2.2258,0.79651,0.7346,0.00825293,0.00825293,0.00825293
71,13795.5,2.41121,0.88475,0.7378,0.86216,0.6882,0.73426,0.31376,2.2157,0.79188,0.73427,0.00820525,0.00820525,0.00820525
72,13969,2.41213,0.89234,0.73907,0.87069,0.68886,0.73601,0.31661,2.21311,0.80011,0.73354,0.00815707,0.00815707,0.00815707
73,14142.8,2.40385,0.88972,0.73458,0.85595,0.69916,0.73699,0.31778,2.20814,0.8,0.73337,0.00810841,0.00810841,0.00810841
74,14316.7,2.39226,0.88132,0.73401,0.86296,0.69699,0.7459,0.32246,2.18868,0.79852,0.7319,0.00805925,0.00805925,0.00805925
75,14491.1,2.38775,0.88198,0.73114,0.85645,0.70077,0.74282,0.31993,2.18429,0.79985,0.73195,0.00800963,0.00800963,0.00800963
76,14665.1,2.38704,0.8783,0.73118,0.85452,0.69972,0.74158,0.32114,2.16932,0.79782,0.7313,0.00795954,0.00795954,0.00795954
77,14838.6,2.38112,0.87502,0.73033,0.85978,0.70222,0.74311,0.32314,2.17608,0.7963,0.72951,0.00790898,0.00790898,0.00790898
78,15012.5,2.37479,0.87897,0.73455,0.8521,0.70321,0.73964,0.32552,2.15916,0.79553,0.73144,0.00785798,0.00785798,0.00785798
79,15186.1,2.3693,0.87343,0.73269,0.8585,0.69696,0.73924,0.32626,2.15233,0.79436,0.73273,0.00780653,0.00780653,0.00780653
80,15359.7,2.37561,0.87572,0.7267,0.85712,0.70426,0.73859,0.32683,2.15473,0.79418,0.73206,0.00775465,0.00775465,0.00775465
81,15533.5,2.34747,0.86543,0.72909,0.85498,0.70404,0.73816,0.32383,2.14626,0.78951,0.73151,0.00770234,0.00770234,0.00770234
82,15707.4,2.33919,0.86552,0.73,0.86223,0.69902,0.73918,0.32512,2.14654,0.78996,0.73079,0.00764961,0.00764961,0.00764961
83,15880.5,2.33168,0.86257,0.72886,0.85892,0.70152,0.73896,0.32552,2.14843,0.79141,0.72935,0.00759648,0.00759648,0.00759648
84,16054,2.33854,0.86296,0.73002,0.87047,0.69832,0.74435,0.3257,2.1471,0.78856,0.72947,0.00754293,0.00754293,0.00754293
85,16227.5,2.33226,0.86423,0.73021,0.86337,0.7016,0.74288,0.32713,2.13648,0.78681,0.72957,0.007489,0.007489,0.007489
86,16401.1,2.3272,0.85961,0.7232,0.85746,0.70601,0.74667,0.33039,2.13031,0.78426,0.72867,0.00743468,0.00743468,0.00743468
87,16575.6,2.33475,0.87375,0.72978,0.86045,0.70635,0.74736,0.32897,2.12286,0.78331,0.72859,0.00737998,0.00737998,0.00737998
88,16749.5,2.3386,0.85648,0.72637,0.86154,0.70042,0.74551,0.33091,2.11695,0.78349,0.72786,0.00732492,0.00732492,0.00732492
89,16922.9,2.31514,0.8555,0.72688,0.86233,0.70182,0.74596,0.3313,2.11365,0.77901,0.72973,0.0072695,0.0072695,0.0072695
90,17096.9,2.33518,0.85511,0.72312,0.8602,0.70039,0.74452,0.32988,2.11531,0.77777,0.72982,0.00721372,0.00721372,0.00721372
91,17270.7,2.33367,0.86072,0.72739,0.85851,0.7081,0.7487,0.33396,2.10737,0.77543,0.72894,0.00715761,0.00715761,0.00715761
92,17444.4,2.2846,0.84532,0.72825,0.85754,0.71299,0.7489,0.3316,2.1118,0.77693,0.72881,0.00710116,0.00710116,0.00710116
93,17618.1,2.31848,0.85032,0.72594,0.85527,0.70915,0.74549,0.33266,2.10479,0.77379,0.72908,0.00704439,0.00704439,0.00704439
94,17791.6,2.31185,0.85195,0.72357,0.85648,0.71124,0.74692,0.33269,2.10558,0.77309,0.72942,0.0069873,0.0069873,0.0069873
95,17965.4,2.29887,0.84576,0.72689,0.85576,0.71299,0.7487,0.33306,2.10937,0.77196,0.72991,0.00692991,0.00692991,0.00692991
96,18138.9,2.32572,0.84871,0.7219,0.85834,0.71334,0.75178,0.33466,2.10542,0.77018,0.72885,0.00687222,0.00687222,0.00687222
97,18312.9,2.3006,0.85001,0.72728,0.86371,0.7095,0.75033,0.33505,2.10198,0.76975,0.72861,0.00681424,0.00681424,0.00681424
98,18486.6,2.31045,0.851,0.72031,0.85834,0.7102,0.74841,0.33562,2.09379,0.76857,0.72824,0.00675598,0.00675598,0.00675598
99,18660.3,2.29362,0.847,0.72511,0.86301,0.7127,0.75149,0.3372,2.08833,0.76787,0.72798,0.00669746,0.00669746,0.00669746
100,18834.4,2.26352,0.82926,0.72669,0.8683,0.71858,0.75636,0.33984,2.07881,0.76328,0.72851,0.00663867,0.00663867,0.00663867
101,19008.2,2.29153,0.83809,0.72255,0.86466,0.71788,0.75626,0.33736,2.08432,0.76453,0.72804,0.00657963,0.00657963,0.00657963
102,19183.8,2.30605,0.84392,0.7221,0.87626,0.71683,0.75744,0.33834,2.08022,0.76302,0.7275,0.00652036,0.00652036,0.00652036
103,19357.4,2.29479,0.83878,0.72074,0.87267,0.71404,0.7583,0.33917,2.07924,0.76447,0.72815,0.00646085,0.00646085,0.00646085
104,19531.2,2.26872,0.83721,0.72688,0.87147,0.7126,0.75693,0.33916,2.07934,0.76555,0.72779,0.00640111,0.00640111,0.00640111
105,19705.1,2.27806,0.83819,0.72552,0.87326,0.71543,0.75587,0.33897,2.0773,0.76509,0.72743,0.00634117,0.00634117,0.00634117
106,19878.8,2.25722,0.83563,0.7281,0.86532,0.71927,0.75664,0.33875,2.07541,0.76397,0.72686,0.00628101,0.00628101,0.00628101
107,20053,2.28283,0.83513,0.72002,0.86805,0.71896,0.75746,0.33913,2.07334,0.762,0.72697,0.00622067,0.00622067,0.00622067
108,20227.2,2.26739,0.82285,0.72333,0.8708,0.72032,0.75801,0.34072,2.07011,0.76012,0.72706,0.00616014,0.00616014,0.00616014
109,20401.1,2.2639,0.82801,0.71944,0.8666,0.71823,0.75581,0.34103,2.0734,0.76082,0.72627,0.00609944,0.00609944,0.00609944
110,20574.5,2.26133,0.82805,0.72326,0.86683,0.71613,0.75389,0.34137,2.07003,0.76102,0.72685,0.00603856,0.00603856,0.00603856
111,20748.5,2.2639,0.8261,0.72219,0.87025,0.71648,0.75489,0.34065,2.07259,0.76181,0.72703,0.00597754,0.00597754,0.00597754
112,20922.1,2.27353,0.83487,0.7243,0.87328,0.71683,0.75712,0.34265,2.06765,0.75983,0.72616,0.00591636,0.00591636,0.00591636
113,21096,2.27585,0.81894,0.71688,0.86805,0.71897,0.75797,0.34176,2.06674,0.75772,0.72606,0.00585505,0.00585505,0.00585505
