epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.151,4.34123,4.7478,3.62364,0.63511,0.03917,0.04289,0.01653,3.06361,3.64246,2.39025,0.00199506,0.00199506,0.0820444
2,362.23,2.48734,2.50563,1.89905,0.23188,0.15554,0.10649,0.04873,2.13307,2.03346,1.64941,0.00399492,0.00399492,0.0640443
3,529.283,2.09286,2.02565,1.56239,0.25709,0.20504,0.13597,0.06679,1.88091,1.7192,1.4509,0.00599419,0.00599419,0.0460436
4,694.419,1.97356,1.87024,1.46438,0.27889,0.2229,0.16069,0.08329,1.80504,1.72515,1.38824,0.00799244,0.00799244,0.0280418
5,857.68,1.89553,1.75645,1.40822,0.24964,0.23972,0.19175,0.10038,1.75378,1.59507,1.35932,0.00998924,0.00998924,0.0100386
6,1021.12,1.80886,1.65387,1.35321,0.25528,0.26177,0.21126,0.11358,1.68223,1.48947,1.31042,0.0099909,0.0099909,0.0099909
7,1183.79,1.74939,1.57785,1.31242,0.29903,0.27725,0.23673,0.12915,1.61791,1.41378,1.28203,0.0099869,0.0099869,0.0099869
8,1345.42,1.70153,1.50409,1.29496,0.3025,0.2919,0.25044,0.13976,1.59889,1.38907,1.26977,0.00998217,0.00998217,0.00998217
9,1508.05,1.66499,1.45262,1.27086,0.31336,0.28968,0.26702,0.14997,1.58568,1.34243,1.25548,0.00997671,0.00997671,0.00997671
10,1670.06,1.64385,1.40919,1.26131,0.35034,0.305,0.28705,0.16303,1.54895,1.29121,1.24034,0.00997053,0.00997053,0.00997053
11,1832.04,1.60503,1.35859,1.24453,0.37637,0.31389,0.29079,0.16425,1.53152,1.26673,1.22909,0.00996363,0.00996363,0.00996363
12,1995.17,1.59217,1.33472,1.23103,0.3808,0.33287,0.31047,0.17801,1.49451,1.23789,1.20797,0.009956,0.009956,0.009956
13,2157.36,1.59006,1.3118,1.22491,0.39388,0.33458,0.31773,0.18285,1.49444,1.22116,1.20171,0.00994766,0.00994766,0.00994766
14,2319.79,1.56372,1.29548,1.21749,0.41936,0.33161,0.32504,0.18754,1.47891,1.20652,1.19733,0.00993859,0.00993859,0.00993859
15,2482.79,1.55633,1.26962,1.21004,0.41567,0.36372,0.34292,0.19729,1.47958,1.18687,1.19421,0.0099288,0.0099288,0.0099288
16,2644.66,1.53384,1.25517,1.20461,0.41369,0.35242,0.34112,0.19754,1.46084,1.1754,1.19037,0.00991829,0.00991829,0.00991829
17,2806.68,1.54095,1.24903,1.20442,0.41074,0.3577,0.3364,0.19598,1.46025,1.18643,1.18707,0.00990707,0.00990707,0.00990707
18,2968.98,1.52132,1.22247,1.19216,0.42592,0.36853,0.35081,0.20335,1.44771,1.15348,1.18039,0.00989513,0.00989513,0.00989513
19,3130.73,1.51289,1.21158,1.19168,0.43976,0.36668,0.35689,0.20661,1.45361,1.1465,1.18116,0.00988248,0.00988248,0.00988248
20,3292.95,1.50384,1.19908,1.1813,0.42911,0.37291,0.35878,0.20928,1.44703,1.13429,1.18072,0.00986912,0.00986912,0.00986912
21,3455.14,1.50486,1.19468,1.18735,0.43804,0.38432,0.36659,0.21273,1.43345,1.13495,1.17054,0.00985505,0.00985505,0.00985505
22,3616.96,1.50341,1.19015,1.18161,0.44121,0.382,0.36315,0.21263,1.42667,1.13004,1.16987,0.00984028,0.00984028,0.00984028
23,3806.96,1.48767,1.17182,1.17426,0.44098,0.3841,0.36792,0.21738,1.41552,1.11808,1.16277,0.0098248,0.0098248,0.0098248
24,3968.24,1.47329,1.16047,1.17144,0.45233,0.38917,0.37869,0.22335,1.40851,1.10559,1.1571,0.00980861,0.00980861,0.00980861
25,4130.09,1.47318,1.15162,1.16798,0.4674,0.38661,0.37921,0.22648,1.40062,1.10558,1.15468,0.00979173,0.00979173,0.00979173
26,4292.03,1.46205,1.14215,1.1642,0.47029,0.38274,0.38052,0.2234,1.41355,1.09379,1.1614,0.00977415,0.00977415,0.00977415
27,4467.68,1.46826,1.14054,1.1633,0.47808,0.37747,0.38002,0.22396,1.40457,1.10839,1.15454,0.00975587,0.00975587,0.00975587
28,4629.9,1.4642,1.13901,1.1624,0.47315,0.39519,0.38873,0.22829,1.40211,1.08804,1.15561,0.0097369,0.0097369,0.0097369
29,4791.67,1.46074,1.12524,1.1603,0.47846,0.38705,0.3921,0.23198,1.39793,1.07634,1.1497,0.00971724,0.00971724,0.00971724
30,4954.22,1.46203,1.12235,1.15587,0.47364,0.39912,0.39486,0.23264,1.38636,1.07703,1.14692,0.0096969,0.0096969,0.0096969
31,5117,1.44842,1.10803,1.15338,0.48172,0.40234,0.39765,0.23452,1.3907,1.06803,1.14795,0.00967587,0.00967587,0.00967587
32,5292.38,1.44628,1.10665,1.15106,0.46645,0.39695,0.39291,0.23346,1.39055,1.0682,1.14885,0.00965416,0.00965416,0.00965416
33,5454.16,1.4402,1.09925,1.15581,0.47903,0.39971,0.39813,0.23678,1.37855,1.0594,1.14264,0.00963177,0.00963177,0.00963177
34,5616,1.44096,1.09668,1.14865,0.48416,0.39828,0.40303,0.2401,1.37632,1.04986,1.13948,0.00960871,0.00960871,0.00960871
35,5777.69,1.42649,1.08091,1.14632,0.47837,0.40618,0.40524,0.24095,1.37465,1.04809,1.1394,0.00958498,0.00958498,0.00958498
36,5940.24,1.43341,1.08866,1.14902,0.48521,0.4046,0.39946,0.23772,1.37935,1.05371,1.14268,0.00956058,0.00956058,0.00956058
37,6102.54,1.42685,1.08197,1.14544,0.48214,0.40667,0.40733,0.2419,1.37751,1.0419,1.13894,0.00953552,0.00953552,0.00953552
38,6265.7,1.4343,1.08054,1.14291,0.50731,0.40534,0.41317,0.24601,1.37101,1.03922,1.13753,0.0095098,0.0095098,0.0095098
39,6428.21,1.42663,1.07829,1.1421,0.50543,0.40573,0.41442,0.24621,1.36654,1.03829,1.13408,0.00948342,0.00948342,0.00948342
40,6604.18,1.42033,1.06984,1.13874,0.5074,0.40516,0.41281,0.24719,1.36188,1.03417,1.1319,0.00945639,0.00945639,0.00945639
41,6766.51,1.42036,1.06885,1.13826,0.50991,0.41606,0.42027,0.24956,1.36144,1.02641,1.13146,0.00942871,0.00942871,0.00942871
42,6927.89,1.41821,1.05935,1.1427,0.50763,0.40581,0.4147,0.24836,1.36431,1.03422,1.13406,0.00940038,0.00940038,0.00940038
43,7090.13,1.40841,1.05186,1.13455,0.50274,0.42024,0.42146,0.25109,1.36207,1.01556,1.13149,0.00937142,0.00937142,0.00937142
44,7252.94,1.41611,1.05505,1.13473,0.51001,0.41957,0.42743,0.25619,1.35224,1.01653,1.12789,0.00934182,0.00934182,0.00934182
45,7415.37,1.41274,1.05328,1.13354,0.50426,0.41771,0.42578,0.25592,1.35107,1.01446,1.12779,0.00931159,0.00931159,0.00931159
46,7578.34,1.40968,1.0481,1.13519,0.5166,0.4171,0.43085,0.25816,1.34849,1.00709,1.12553,0.00928073,0.00928073,0.00928073
47,7740.78,1.40391,1.04235,1.13061,0.50234,0.4254,0.43011,0.25881,1.34755,1.00719,1.12487,0.00924925,0.00924925,0.00924925
48,7903.3,1.39964,1.0395,1.13211,0.51428,0.42312,0.43022,0.25785,1.34795,1.00421,1.1254,0.00921715,0.00921715,0.00921715
49,8065.61,1.39788,1.0354,1.12826,0.51128,0.42698,0.43192,0.25936,1.3493,1.00311,1.12576,0.00918444,0.00918444,0.00918444
50,8227.65,1.39957,1.0337,1.12859,0.52051,0.4245,0.43365,0.26061,1.34649,1.00101,1.12436,0.00915112,0.00915112,0.00915112
51,8389.9,1.39232,1.0285,1.12532,0.52475,0.42366,0.43465,0.26267,1.34297,1.00273,1.12013,0.0091172,0.0091172,0.0091172
52,8552.45,1.3916,1.02719,1.12405,0.51867,0.42526,0.43552,0.26245,1.34543,1.00311,1.12179,0.00908268,0.00908268,0.00908268
53,8715.28,1.40257,1.036,1.12361,0.52489,0.42745,0.43845,0.26329,1.35069,1.00663,1.12,0.00904756,0.00904756,0.00904756
54,8877.83,1.41085,1.03733,1.12253,0.53831,0.42289,0.43793,0.26403,1.35512,1.00947,1.11749,0.00901186,0.00901186,0.00901186
55,9039.86,1.40225,1.0385,1.12181,0.5395,0.41804,0.44031,0.26498,1.3562,1.01597,1.11281,0.00897558,0.00897558,0.00897558
56,9201.91,1.40792,1.04159,1.11679,0.52618,0.42517,0.44273,0.26749,1.35215,1.01025,1.10998,0.00893871,0.00893871,0.00893871
57,9364.08,1.4016,1.03843,1.11018,0.52863,0.41984,0.43938,0.26571,1.35278,1.01509,1.1061,0.00890128,0.00890128,0.00890128
58,9525.94,1.39843,1.03537,1.11161,0.54033,0.4212,0.44168,0.26707,1.35352,1.01254,1.10389,0.00886327,0.00886327,0.00886327
59,9688.29,1.40636,1.04145,1.11303,0.53154,0.43058,0.44513,0.26985,1.35083,1.01169,1.10204,0.00882471,0.00882471,0.00882471
60,9850.54,1.40438,1.03597,1.10573,0.53649,0.42425,0.44535,0.26991,1.35229,1.00956,1.10124,0.00878559,0.00878559,0.00878559
61,10012.8,1.39955,1.03381,1.10267,0.53145,0.42806,0.44377,0.2691,1.34881,1.00526,1.09998,0.00874593,0.00874593,0.00874593
62,10174.8,1.40144,1.02949,1.10619,0.52425,0.43232,0.44564,0.27076,1.35074,1.00537,1.10005,0.00870571,0.00870571,0.00870571
63,10336.9,1.40284,1.0335,1.10366,0.53102,0.4326,0.4481,0.27111,1.35013,1.00721,1.09879,0.00866496,0.00866496,0.00866496
64,10499.2,1.40227,1.03247,1.10334,0.5337,0.42868,0.44662,0.27102,1.34545,1.0025,1.09603,0.00862368,0.00862368,0.00862368
65,10698.6,1.40057,1.02682,1.09935,0.53369,0.4355,0.45019,0.27263,1.34833,1.0003,1.09801,0.00858188,0.00858188,0.00858188
66,10861,1.39881,1.02581,1.09754,0.5315,0.43006,0.44665,0.27091,1.34522,1.00072,1.09728,0.00853955,0.00853955,0.00853955
67,11023.1,1.39428,1.0185,1.09597,0.53757,0.42856,0.44752,0.27125,1.34468,1.00024,1.09449,0.00849671,0.00849671,0.00849671
68,11184.7,1.39109,1.01612,1.09972,0.53978,0.42817,0.4514,0.27494,1.34317,0.99757,1.09371,0.00845336,0.00845336,0.00845336
69,11346,1.38861,1.01716,1.10033,0.54008,0.43607,0.44999,0.27383,1.34375,0.99592,1.09274,0.00840951,0.00840951,0.00840951
70,11507.7,1.39081,1.02183,1.09904,0.54604,0.43352,0.45433,0.27628,1.34158,0.99108,1.09258,0.00836517,0.00836517,0.00836517
71,11682.9,1.39031,1.01539,1.09746,0.54966,0.4322,0.45466,0.27615,1.33759,0.98959,1.09001,0.00832034,0.00832034,0.00832034
72,11845.1,1.39245,1.01547,1.09907,0.55924,0.42758,0.4553,0.27722,1.33906,0.99034,1.09055,0.00827503,0.00827503,0.00827503
73,12007.5,1.37864,1.00344,1.09194,0.54443,0.43356,0.45492,0.27703,1.33814,0.98931,1.09031,0.00822924,0.00822924,0.00822924
74,12170.1,1.3871,1.01012,1.09541,0.54234,0.43566,0.45523,0.2776,1.33684,0.98548,1.08969,0.00818299,0.00818299,0.00818299
75,12331.7,1.3726,1.00057,1.09444,0.54698,0.43715,0.45665,0.2781,1.33632,0.98355,1.08924,0.00813627,0.00813627,0.00813627
76,12493.6,1.3822,1.00276,1.0944,0.54996,0.43694,0.45773,0.27897,1.33437,0.98339,1.08843,0.00808911,0.00808911,0.00808911
77,12655.9,1.37896,0.99981,1.0899,0.53629,0.44276,0.46073,0.28093,1.3366,0.97983,1.08876,0.00804149,0.00804149,0.00804149
78,12818.4,1.37838,0.99858,1.09044,0.54895,0.43931,0.459,0.27906,1.33603,0.98203,1.08849,0.00799343,0.00799343,0.00799343
79,12980.7,1.3753,0.99319,1.08924,0.5487,0.43955,0.4601,0.28001,1.3345,0.98051,1.08701,0.00794495,0.00794495,0.00794495
